epoch,train_loss,val_loss,val_mae,lr
1,0.379040,0.391218,387.351990,5.00e-04
2,0.350036,0.363131,399.080780,5.00e-04
3,0.336552,0.334365,428.959808,5.00e-04
4,0.325151,0.354058,395.919312,5.00e-04
5,0.314283,0.308521,366.466949,5.00e-04
6,0.300842,0.289534,379.525269,5.00e-04
7,0.290847,0.275960,376.099640,5.00e-04
8,0.281776,0.266921,352.773376,5.00e-04
9,0.273131,0.256198,354.829102,5.00e-04
10,0.264291,0.276981,326.385162,5.00e-04
11,0.254046,0.243112,336.947754,5.00e-04
12,0.247253,0.236461,348.354401,5.00e-04
13,0.242415,0.228096,315.759735,5.00e-04
14,0.233315,0.213132,329.221283,5.00e-04
15,0.226907,0.212202,302.970703,5.00e-04
16,0.220656,0.208259,320.239594,5.00e-04
17,0.216687,0.211200,285.702942,5.00e-04
18,0.211085,0.206539,312.728088,5.00e-04
19,0.203933,0.274533,376.221649,5.00e-04
20,0.201339,0.180573,280.087860,5.00e-04
21,0.196534,0.178483,283.915161,5.00e-04
22,0.190177,0.181242,266.717316,5.00e-04
23,0.187180,0.168801,285.756409,5.00e-04
24,0.183442,0.171544,273.943115,5.00e-04
25,0.178561,0.172721,273.906342,5.00e-04
26,0.174575,0.165572,282.717590,5.00e-04
27,0.171170,0.151973,254.845581,5.00e-04
28,0.168435,0.158110,272.986725,5.00e-04
29,0.164385,0.143288,254.955948,5.00e-04
30,0.163483,0.191574,320.543304,5.00e-04
31,0.157616,0.164101,287.850708,5.00e-04
32,0.157282,0.138973,253.649811,5.00e-04
33,0.152603,0.143967,255.904648,5.00e-04
34,0.152920,0.132637,251.785263,5.00e-04
35,0.147354,0.133594,253.022552,5.00e-04
36,0.148501,0.149498,259.838989,5.00e-04
37,0.145573,0.151540,280.873474,5.00e-04
38,0.142539,0.148094,267.494843,5.00e-04
39,0.139025,0.114917,226.485931,5.00e-04
40,0.135425,0.121483,228.263733,5.00e-04
41,0.136656,0.118985,220.837570,5.00e-04
42,0.133621,0.113936,223.054352,5.00e-04
43,0.132976,0.121364,229.582870,5.00e-04
44,0.131456,0.107746,226.019913,5.00e-04
45,0.129158,0.126194,234.868500,5.00e-04
46,0.128689,0.106891,217.608276,5.00e-04
47,0.124230,0.109117,228.891846,5.00e-04
48,0.123712,0.113490,221.323059,5.00e-04
49,0.123235,0.120368,227.923065,5.00e-04
50,0.123514,0.126996,244.510620,5.00e-04
51,0.121369,0.105412,214.176239,5.00e-04
52,0.119309,0.099253,203.721298,5.00e-04
53,0.118282,0.105115,210.998352,5.00e-04
54,0.120181,0.107081,217.117218,5.00e-04
55,0.117387,0.122576,257.484558,5.00e-04
56,0.117648,0.114134,256.325256,5.00e-04
57,0.115388,0.113698,219.681992,5.00e-04
58,0.115062,0.103534,209.732605,5.00e-04
59,0.110114,0.106546,235.434891,5.00e-04
60,0.113262,0.106878,220.054321,5.00e-04
61,0.112095,0.099527,209.370407,5.00e-04
62,0.109879,0.113005,236.355072,5.00e-04
63,0.108881,0.104482,218.220261,5.00e-04
64,0.109438,0.115858,244.566101,5.00e-04
65,0.108962,0.099636,219.161789,5.00e-04
66,0.106271,0.112161,239.154724,5.00e-04
67,0.105492,0.097969,217.105179,5.00e-04
