epoch,train_loss,val_loss,val_mae,lr
1,0.373055,0.362415,398.610596,5.00e-04
2,0.277502,0.217179,337.643280,5.00e-04
3,0.205524,0.164913,268.249939,5.00e-04
4,0.165100,0.164029,240.052429,5.00e-04
5,0.139700,0.153145,229.654877,5.00e-04
6,0.134699,0.174379,258.329926,5.00e-04
7,0.113360,0.118774,214.513412,5.00e-04
8,0.113064,0.096955,182.958191,5.00e-04
9,0.097508,0.080988,168.543869,5.00e-04
10,0.091815,0.073687,161.944458,5.00e-04
11,0.089988,0.072698,135.852875,5.00e-04
12,0.081790,0.128401,221.394257,5.00e-04
13,0.083139,0.095871,189.866272,5.00e-04
14,0.075118,0.078518,178.149216,5.00e-04
15,0.071199,0.065385,133.248169,5.00e-04
16,0.068581,0.090143,155.781326,5.00e-04
17,0.070470,0.080123,181.467102,5.00e-04
18,0.063711,0.071297,148.698471,5.00e-04
19,0.058065,0.082732,150.214050,5.00e-04
20,0.059687,0.076332,139.988281,5.00e-04
21,0.060692,0.066544,150.926102,5.00e-04
22,0.052097,0.058388,132.349213,5.00e-04
23,0.056184,0.061489,126.536995,5.00e-04
24,0.052674,0.047019,117.609024,5.00e-04
25,0.048964,0.072835,122.787949,5.00e-04
26,0.050190,0.059045,133.176697,5.00e-04
27,0.049556,0.055774,118.470078,5.00e-04
28,0.047343,0.052126,108.988762,5.00e-04
29,0.042685,0.046952,107.493752,5.00e-04
30,0.041816,0.047632,101.896545,5.00e-04
31,0.042425,0.048569,98.590363,5.00e-04
32,0.041800,0.053780,107.799820,5.00e-04
33,0.037583,0.064694,139.201706,5.00e-04
34,0.037284,0.057302,104.043571,5.00e-04
35,0.035765,0.041433,90.691597,5.00e-04
36,0.036625,0.048500,104.648605,5.00e-04
37,0.032364,0.037311,76.376129,5.00e-04
38,0.033864,0.038974,92.033554,5.00e-04
39,0.032100,0.063979,118.340851,5.00e-04
40,0.032530,0.086089,116.545502,5.00e-04
41,0.032432,0.053201,126.283470,5.00e-04
42,0.027345,0.031956,97.377228,5.00e-04
43,0.030114,0.053368,88.088005,5.00e-04
44,0.027493,0.037430,71.371140,5.00e-04
45,0.026625,0.036522,82.546082,5.00e-04
46,0.027678,0.034390,71.540138,5.00e-04
47,0.025230,0.097683,96.048882,5.00e-04
48,0.024805,0.032793,67.830879,5.00e-04
49,0.026059,0.044422,110.914886,5.00e-04
50,0.025765,0.047704,93.535828,5.00e-04
51,0.023567,0.044270,91.095764,5.00e-04
52,0.024103,0.034189,86.895782,5.00e-04
53,0.024963,0.038235,80.022423,5.00e-04
54,0.020054,0.035247,93.541283,5.00e-04
55,0.021670,0.072105,78.617012,5.00e-04
56,0.023077,0.033248,74.532272,5.00e-04
57,0.021810,0.024510,70.080795,5.00e-04
58,0.019983,0.085215,102.332710,5.00e-04
59,0.019811,0.036088,70.696518,5.00e-04
60,0.019148,0.029503,67.235077,5.00e-04
61,0.021632,0.021680,56.370209,5.00e-04
62,0.016876,0.058950,107.006271,5.00e-04
63,0.017161,0.039528,82.548004,5.00e-04
64,0.017662,0.032315,53.128971,5.00e-04
65,0.017907,0.024162,52.128349,5.00e-04
66,0.018653,0.045833,84.422226,5.00e-04
67,0.015430,0.045697,76.692047,5.00e-04
68,0.016517,0.025091,63.497326,5.00e-04
69,0.020802,0.022085,58.002892,5.00e-04
70,0.016003,0.028917,58.617458,5.00e-04
71,0.016344,0.026831,65.414001,5.00e-04
72,0.016792,0.033119,54.918514,5.00e-04
73,0.016782,0.028628,84.399986,5.00e-04
74,0.014107,0.032046,69.022133,5.00e-04
75,0.016562,0.030130,65.928215,5.00e-04
76,0.012796,0.025636,53.447823,5.00e-04
77,0.013229,0.044410,80.471321,5.00e-04
78,0.015941,0.034484,51.539406,5.00e-04
79,0.014519,0.039944,58.944698,5.00e-04
80,0.013581,0.041122,55.468800,5.00e-04
81,0.014722,0.035248,59.218536,5.00e-04
82,0.015121,0.048749,50.171772,5.00e-04
83,0.011695,0.069084,57.309395,5.00e-04
84,0.011890,0.044720,54.406113,5.00e-04
85,0.013450,0.036845,67.836746,5.00e-04
86,0.012215,0.029853,51.238831,5.00e-04
87,0.013551,0.026606,55.605614,5.00e-04
88,0.010259,0.036837,60.980137,5.00e-04
89,0.011836,0.041013,78.824608,5.00e-04
90,0.011890,0.063548,62.008953,5.00e-04
91,0.015888,0.025415,52.229435,5.00e-04
92,0.012761,0.027813,80.222176,5.00e-04
93,0.011446,0.022856,41.566643,5.00e-04
94,0.011286,0.033324,72.992432,5.00e-04
95,0.011642,0.019223,55.681438,5.00e-04
96,0.009794,0.030826,49.915421,5.00e-04
97,0.010402,0.028626,43.393524,5.00e-04
98,0.012139,0.056309,55.283833,5.00e-04
99,0.010598,0.017648,43.549099,5.00e-04
100,0.010316,0.027008,57.055122,5.00e-04
