epoch,train_loss,val_loss,val_mae,lr
1,0.298482,0.283476,443.665222,5.00e-04
2,0.244242,0.228508,344.548828,5.00e-04
3,0.217103,0.211315,354.931732,5.00e-04
4,0.196098,0.202587,363.055542,5.00e-04
5,0.179664,0.243390,405.251434,5.00e-04
6,0.163469,0.235725,370.790497,5.00e-04
7,0.150512,0.139189,280.226807,5.00e-04
8,0.139948,0.129047,275.965179,5.00e-04
9,0.130864,0.147126,288.993896,5.00e-04
10,0.122180,0.129666,268.224457,5.00e-04
11,0.115612,0.118623,261.904907,5.00e-04
12,0.107124,0.175704,340.787689,5.00e-04
13,0.103067,0.194489,376.218079,5.00e-04
14,0.098879,0.159052,329.952606,5.00e-04
15,0.094467,0.193985,372.508484,5.00e-04
16,0.090666,0.121437,275.515320,5.00e-04
17,0.087670,0.111744,265.611389,5.00e-04
18,0.085716,0.090062,225.791977,5.00e-04
19,0.081667,0.222480,434.267456,5.00e-04
20,0.080028,0.101899,245.188126,5.00e-04
21,0.077038,0.128530,299.603912,5.00e-04
22,0.074088,0.091687,236.503769,5.00e-04
23,0.072422,0.079173,209.066422,5.00e-04
24,0.072030,0.102967,250.874954,5.00e-04
25,0.069556,0.099957,246.260010,5.00e-04
26,0.068174,0.133755,294.425781,5.00e-04
27,0.066669,0.072998,199.610931,5.00e-04
28,0.065349,0.143775,333.472443,5.00e-04
29,0.064909,0.157764,358.903931,5.00e-04
30,0.062524,0.063976,183.386597,5.00e-04
31,0.061559,0.111138,291.508881,5.00e-04
32,0.061337,0.094311,244.690826,5.00e-04
33,0.059380,0.077655,214.980057,5.00e-04
34,0.059061,0.107099,273.952087,5.00e-04
35,0.057857,0.134039,311.821838,5.00e-04
36,0.057490,0.070689,205.322006,5.00e-04
37,0.054460,0.104452,282.107971,5.00e-04
38,0.055840,0.151484,337.818542,5.00e-04
39,0.054389,0.090270,251.861023,5.00e-04
40,0.053112,0.159472,368.673401,5.00e-04
41,0.053138,0.076043,227.180099,5.00e-04
42,0.052337,0.057427,177.335373,5.00e-04
43,0.052238,0.066946,207.410202,5.00e-04
44,0.050995,0.072288,205.400208,5.00e-04
45,0.050923,0.067320,201.965591,5.00e-04
46,0.050447,0.175903,390.941681,5.00e-04
47,0.049372,0.051835,169.281036,5.00e-04
48,0.048885,0.052090,164.396118,5.00e-04
49,0.047896,0.046151,151.759781,5.00e-04
50,0.047213,0.065893,207.402985,5.00e-04
51,0.047770,0.054685,175.284302,5.00e-04
52,0.047521,0.047582,154.393219,5.00e-04
53,0.045775,0.079943,222.530884,5.00e-04
54,0.046563,0.064191,205.581253,5.00e-04
55,0.045698,0.059463,195.450119,5.00e-04
56,0.045180,0.071888,217.896988,5.00e-04
57,0.045208,0.049665,164.366226,5.00e-04
58,0.044531,0.163752,376.168793,5.00e-04
59,0.043897,0.055562,172.720490,5.00e-04
60,0.043943,0.166678,386.805206,5.00e-04
61,0.042724,0.054220,179.676315,5.00e-04
62,0.042492,0.181590,404.952698,5.00e-04
63,0.043193,0.049418,170.212799,5.00e-04
64,0.042587,0.057837,184.316101,5.00e-04
