epoch,train_loss,val_loss,val_mae,lr
1,0.373996,0.368474,465.885132,5.00e-04
2,0.329577,0.317695,395.852905,5.00e-04
3,0.293388,0.301480,351.109100,5.00e-04
4,0.257499,0.245111,332.357513,5.00e-04
5,0.224613,0.207921,288.694489,5.00e-04
6,0.195755,0.201424,323.318420,5.00e-04
7,0.170445,0.143968,259.899200,5.00e-04
8,0.150482,0.150409,271.619843,5.00e-04
9,0.140133,0.129104,244.015579,5.00e-04
10,0.125556,0.107057,219.761383,5.00e-04
11,0.116111,0.109318,208.888245,5.00e-04
12,0.107268,0.107108,228.125122,5.00e-04
13,0.098233,0.108583,218.455521,5.00e-04
14,0.090445,0.123066,263.822144,5.00e-04
15,0.086834,0.086579,187.744843,5.00e-04
16,0.079082,0.086252,188.117569,5.00e-04
17,0.075874,0.119382,246.056793,5.00e-04
18,0.072360,0.074978,170.999374,5.00e-04
19,0.069471,0.075180,166.499191,5.00e-04
20,0.064097,0.072181,170.931747,5.00e-04
21,0.062705,0.070913,175.353928,5.00e-04
22,0.057169,0.066977,150.336548,5.00e-04
23,0.058001,0.073331,171.713043,5.00e-04
24,0.054287,0.071269,183.402084,5.00e-04
25,0.054174,0.072089,161.693298,5.00e-04
26,0.051644,0.072498,165.520233,5.00e-04
27,0.047465,0.066897,151.210754,5.00e-04
28,0.049141,0.067465,177.054581,5.00e-04
29,0.046553,0.063490,163.215790,5.00e-04
30,0.045994,0.067677,151.081390,5.00e-04
31,0.044019,0.049853,129.512527,5.00e-04
32,0.043443,0.065144,171.410080,5.00e-04
33,0.040039,0.115946,270.881348,5.00e-04
34,0.038815,0.050312,127.791611,5.00e-04
35,0.038637,0.062070,157.195648,5.00e-04
36,0.037921,0.056964,149.972412,5.00e-04
37,0.037580,0.044393,121.180550,5.00e-04
38,0.035583,0.056514,150.879288,5.00e-04
39,0.033683,0.043739,111.508278,5.00e-04
40,0.034296,0.051035,125.955513,5.00e-04
41,0.032516,0.043190,109.336754,5.00e-04
42,0.031150,0.041818,108.651474,5.00e-04
43,0.030944,0.045351,112.500069,5.00e-04
44,0.033086,0.058320,155.599915,5.00e-04
45,0.027389,0.045943,123.501503,5.00e-04
46,0.028080,0.041895,105.638054,5.00e-04
47,0.030250,0.039792,102.361053,5.00e-04
48,0.027436,0.048979,125.619926,5.00e-04
49,0.025889,0.049289,126.311501,5.00e-04
50,0.027341,0.045236,115.308647,5.00e-04
51,0.027504,0.041029,108.279739,5.00e-04
52,0.028517,0.041746,97.585381,5.00e-04
53,0.024252,0.035339,91.913025,5.00e-04
54,0.024177,0.038316,107.391098,5.00e-04
55,0.024121,0.036368,97.712334,5.00e-04
56,0.023394,0.036151,96.853233,5.00e-04
57,0.024515,0.048063,117.254272,5.00e-04
58,0.022481,0.037398,106.404739,5.00e-04
59,0.021827,0.034488,91.073013,5.00e-04
60,0.021253,0.040961,106.201080,5.00e-04
61,0.022232,0.037877,103.980423,5.00e-04
62,0.022355,0.032762,87.736343,5.00e-04
63,0.021382,0.053272,125.940712,5.00e-04
64,0.021307,0.041399,105.389389,5.00e-04
65,0.020666,0.038543,100.644196,5.00e-04
66,0.021214,0.039071,97.529381,5.00e-04
67,0.018935,0.040606,110.395401,5.00e-04
68,0.020072,0.038577,101.508980,5.00e-04
69,0.018800,0.033728,91.033714,5.00e-04
70,0.018583,0.039992,107.999825,5.00e-04
71,0.018666,0.034314,82.467163,5.00e-04
72,0.020932,0.042208,109.750427,5.00e-04
73,0.018701,0.032808,95.413521,5.00e-04
74,0.015753,0.035124,81.322060,5.00e-04
75,0.017008,0.032421,82.633369,5.00e-04
76,0.018096,0.043801,116.359695,5.00e-04
77,0.016661,0.035215,82.466866,5.00e-04
78,0.017763,0.033426,88.550446,5.00e-04
79,0.016043,0.039130,102.901825,5.00e-04
80,0.016298,0.040259,110.486473,5.00e-04
81,0.016500,0.031083,75.517181,5.00e-04
82,0.016054,0.032651,77.162758,5.00e-04
83,0.017294,0.030943,72.014702,5.00e-04
84,0.017681,0.038367,94.851509,5.00e-04
85,0.015279,0.039196,91.637543,5.00e-04
86,0.014209,0.031255,74.471985,5.00e-04
87,0.016642,0.029340,71.813370,5.00e-04
88,0.015424,0.034595,91.378799,5.00e-04
89,0.013749,0.031247,74.086983,5.00e-04
90,0.015784,0.039356,95.789146,5.00e-04
91,0.014147,0.038450,96.624802,5.00e-04
92,0.014760,0.029189,65.444420,5.00e-04
93,0.015131,0.028887,70.212654,5.00e-04
94,0.014194,0.050309,129.764465,5.00e-04
95,0.013957,0.030293,73.598557,5.00e-04
96,0.012922,0.030167,74.884491,5.00e-04
97,0.013030,0.035664,81.450890,5.00e-04
98,0.013359,0.031550,70.485596,5.00e-04
99,0.014539,0.030210,79.525513,5.00e-04
100,0.012760,0.028420,77.139442,5.00e-04
