epoch,train_loss,val_loss,val_mae,lr
1,0.373326,0.368236,466.307434,5.00e-04
2,0.322718,0.319048,442.715698,5.00e-04
3,0.280103,0.252460,355.166565,5.00e-04
4,0.239371,0.203838,305.793152,5.00e-04
5,0.199591,0.168039,279.454926,5.00e-04
6,0.178195,0.154004,258.200989,5.00e-04
7,0.157515,0.153007,273.924591,5.00e-04
8,0.136804,0.123053,224.335953,5.00e-04
9,0.125822,0.106403,221.005920,5.00e-04
10,0.114645,0.110817,217.634079,5.00e-04
11,0.105436,0.115487,217.886200,5.00e-04
12,0.097721,0.102290,215.610931,5.00e-04
13,0.091977,0.098747,201.106949,5.00e-04
14,0.087207,0.078652,184.092728,5.00e-04
15,0.084585,0.076682,174.864670,5.00e-04
16,0.077363,0.080530,178.372086,5.00e-04
17,0.077163,0.073687,161.905945,5.00e-04
18,0.070315,0.070096,163.731674,5.00e-04
19,0.068606,0.084530,185.768784,5.00e-04
20,0.065375,0.085627,193.557724,5.00e-04
21,0.066409,0.079264,173.435242,5.00e-04
22,0.062065,0.068970,160.580719,5.00e-04
23,0.058014,0.063986,150.540268,5.00e-04
24,0.055136,0.058177,140.423752,5.00e-04
25,0.054575,0.062114,144.516144,5.00e-04
26,0.055237,0.065044,158.734192,5.00e-04
27,0.051727,0.060265,137.151031,5.00e-04
28,0.052861,0.063032,158.474716,5.00e-04
29,0.049935,0.063190,161.859009,5.00e-04
30,0.049550,0.068763,155.612579,5.00e-04
31,0.046137,0.056316,145.889069,5.00e-04
32,0.044569,0.044597,113.302567,5.00e-04
33,0.045262,0.047776,127.523865,5.00e-04
34,0.044059,0.063517,173.016937,5.00e-04
35,0.042380,0.062244,172.752808,5.00e-04
36,0.039595,0.046034,112.946144,5.00e-04
37,0.039601,0.047953,118.844406,5.00e-04
38,0.042414,0.046775,109.783203,5.00e-04
39,0.039474,0.052888,149.147842,5.00e-04
40,0.038798,0.057921,128.733063,5.00e-04
41,0.037354,0.050283,127.236328,5.00e-04
42,0.038363,0.057857,145.828415,5.00e-04
43,0.037859,0.056188,143.068481,5.00e-04
44,0.035060,0.062683,183.171509,5.00e-04
45,0.036879,0.047585,127.469719,5.00e-04
46,0.034981,0.043096,118.039246,5.00e-04
47,0.034732,0.046112,129.593277,5.00e-04
48,0.032861,0.049379,129.708588,5.00e-04
49,0.033360,0.050478,128.513092,5.00e-04
50,0.031486,0.044175,115.578659,5.00e-04
51,0.032213,0.036652,94.293999,5.00e-04
52,0.031536,0.046067,119.496277,5.00e-04
53,0.032596,0.041394,104.211952,5.00e-04
54,0.031437,0.044794,110.745270,5.00e-04
55,0.029540,0.040184,100.569107,5.00e-04
56,0.029656,0.040486,103.658272,5.00e-04
57,0.029839,0.043266,104.960686,5.00e-04
58,0.028143,0.038756,101.227882,5.00e-04
59,0.029972,0.041121,102.618286,5.00e-04
60,0.026782,0.038608,94.940140,5.00e-04
61,0.027214,0.040191,107.767838,5.00e-04
62,0.029025,0.039054,100.553062,5.00e-04
63,0.027177,0.044617,116.866020,5.00e-04
64,0.025865,0.037336,103.074974,5.00e-04
65,0.029103,0.037501,96.309334,5.00e-04
66,0.024861,0.041002,117.986755,5.00e-04
