epoch,train_loss,val_loss,val_mae,lr
1,0.369639,0.411034,540.477295,5.00e-04
2,0.313839,0.296326,400.803986,5.00e-04
3,0.261954,0.259104,344.894135,5.00e-04
4,0.209254,0.180367,297.721344,5.00e-04
5,0.169475,0.188459,300.228363,5.00e-04
6,0.145606,0.135672,264.272095,5.00e-04
7,0.120446,0.121091,234.348587,5.00e-04
8,0.106087,0.121615,266.908112,5.00e-04
9,0.093650,0.081319,186.990509,5.00e-04
10,0.083206,0.098049,210.359238,5.00e-04
11,0.080306,0.070631,161.130264,5.00e-04
12,0.070133,0.064853,157.350449,5.00e-04
13,0.065326,0.080307,193.714859,5.00e-04
14,0.060138,0.070501,172.065720,5.00e-04
15,0.054010,0.090078,203.664795,5.00e-04
16,0.054075,0.048687,131.391541,5.00e-04
17,0.046827,0.044799,112.943680,5.00e-04
18,0.046343,0.063106,165.769241,5.00e-04
19,0.043821,0.046802,134.765244,5.00e-04
20,0.040595,0.058246,159.259171,5.00e-04
21,0.039136,0.043338,124.540718,5.00e-04
22,0.037136,0.046619,128.169510,5.00e-04
23,0.033396,0.032844,98.012840,5.00e-04
24,0.033986,0.050370,136.889877,5.00e-04
25,0.033716,0.046986,122.230583,5.00e-04
26,0.029818,0.043863,127.693504,5.00e-04
27,0.029653,0.030369,91.893143,5.00e-04
28,0.029154,0.051815,145.402618,5.00e-04
29,0.029942,0.077681,182.689743,5.00e-04
30,0.026878,0.031882,101.541985,5.00e-04
31,0.022887,0.034086,104.138504,5.00e-04
32,0.025046,0.035640,103.806732,5.00e-04
33,0.023436,0.031772,88.652824,5.00e-04
34,0.026345,0.033028,90.770752,5.00e-04
35,0.024981,0.030365,88.163750,5.00e-04
36,0.021196,0.026624,85.560028,5.00e-04
37,0.021088,0.025585,77.507149,5.00e-04
38,0.023465,0.031093,89.252922,5.00e-04
39,0.018091,0.037019,111.185204,5.00e-04
40,0.019798,0.030480,104.010483,5.00e-04
41,0.021265,0.023232,75.884468,5.00e-04
42,0.018679,0.026926,91.167557,5.00e-04
43,0.017530,0.024562,70.614441,5.00e-04
44,0.018061,0.028344,78.615616,5.00e-04
45,0.017878,0.022021,67.427971,5.00e-04
46,0.019360,0.022029,67.508774,5.00e-04
47,0.018259,0.020405,61.132359,5.00e-04
48,0.014731,0.021001,66.798515,5.00e-04
49,0.018236,0.046590,130.988785,5.00e-04
50,0.016775,0.025093,83.522881,5.00e-04
51,0.016329,0.037490,111.702164,5.00e-04
52,0.015965,0.022622,68.627274,5.00e-04
53,0.015724,0.033189,101.613991,5.00e-04
54,0.015086,0.022963,76.516411,5.00e-04
55,0.014640,0.021022,60.039005,5.00e-04
56,0.012578,0.023606,68.799942,5.00e-04
57,0.015278,0.023973,72.981979,5.00e-04
58,0.012880,0.029051,91.116943,5.00e-04
59,0.015707,0.030130,110.169373,5.00e-04
60,0.014517,0.023062,74.209991,5.00e-04
61,0.014092,0.034462,115.346046,5.00e-04
62,0.011891,0.019659,62.013836,5.00e-04
63,0.011597,0.019056,56.598286,5.00e-04
64,0.014366,0.021529,65.748062,5.00e-04
65,0.012606,0.018345,53.621895,5.00e-04
66,0.011074,0.022410,74.606323,5.00e-04
67,0.012365,0.023275,75.701324,5.00e-04
68,0.012743,0.025874,78.832687,5.00e-04
69,0.013082,0.024300,80.272232,5.00e-04
70,0.010903,0.020134,66.066849,5.00e-04
71,0.011961,0.019676,58.629578,5.00e-04
72,0.010300,0.023553,69.776459,5.00e-04
73,0.013095,0.023261,66.056244,5.00e-04
74,0.012524,0.019565,60.827915,5.00e-04
75,0.009551,0.017316,62.290333,5.00e-04
76,0.009616,0.021624,62.824356,5.00e-04
77,0.011398,0.028412,86.911583,5.00e-04
78,0.010843,0.019850,68.050690,5.00e-04
79,0.008881,0.022116,71.423294,5.00e-04
80,0.010331,0.050778,131.752853,5.00e-04
