epoch,train_loss,val_loss,val_mae,lr
1,0.371886,0.339518,425.744354,5.00e-04
2,0.315044,0.282225,395.415436,5.00e-04
3,0.257725,0.228187,314.384766,5.00e-04
4,0.210151,0.183438,270.326263,5.00e-04
5,0.169782,0.159215,291.150391,5.00e-04
6,0.143041,0.147080,242.089127,5.00e-04
7,0.125336,0.114597,233.304276,5.00e-04
8,0.112051,0.096691,202.410629,5.00e-04
9,0.099100,0.089916,208.249832,5.00e-04
10,0.089655,0.074826,173.089966,5.00e-04
11,0.087460,0.091212,200.360733,5.00e-04
12,0.075275,0.065547,168.313934,5.00e-04
13,0.071144,0.069576,166.790665,5.00e-04
14,0.066805,0.059956,163.269745,5.00e-04
15,0.063448,0.063562,152.444885,5.00e-04
16,0.060884,0.068268,166.866730,5.00e-04
17,0.057281,0.060056,161.898117,5.00e-04
18,0.052799,0.045381,133.447617,5.00e-04
19,0.050097,0.047231,134.404022,5.00e-04
20,0.047036,0.046226,138.732193,5.00e-04
21,0.047654,0.041216,123.291504,5.00e-04
22,0.043727,0.049551,143.323547,5.00e-04
23,0.044945,0.048824,128.329208,5.00e-04
24,0.040963,0.042460,122.552750,5.00e-04
25,0.037199,0.042515,118.470047,5.00e-04
26,0.036589,0.044503,119.159073,5.00e-04
27,0.036519,0.037921,114.570648,5.00e-04
28,0.034518,0.037037,103.068810,5.00e-04
29,0.032145,0.034327,106.731682,5.00e-04
30,0.031528,0.039605,125.234978,5.00e-04
31,0.031049,0.040370,123.190811,5.00e-04
32,0.030647,0.031265,100.232437,5.00e-04
33,0.031481,0.038173,111.596977,5.00e-04
34,0.030815,0.036011,125.141449,5.00e-04
35,0.026369,0.034719,92.618530,5.00e-04
36,0.026205,0.027544,87.901764,5.00e-04
37,0.026909,0.033818,110.782715,5.00e-04
38,0.025999,0.029147,96.927414,5.00e-04
39,0.025516,0.033492,115.571907,5.00e-04
40,0.023292,0.024683,78.644623,5.00e-04
41,0.022567,0.029373,96.184639,5.00e-04
42,0.025141,0.034479,104.736908,5.00e-04
43,0.023353,0.029430,91.487007,5.00e-04
44,0.020791,0.026980,82.392029,5.00e-04
45,0.021408,0.025792,86.434326,5.00e-04
46,0.020213,0.026532,102.340263,5.00e-04
47,0.021151,0.022930,77.993690,5.00e-04
48,0.019999,0.025026,83.508392,5.00e-04
49,0.020130,0.037709,131.978668,5.00e-04
50,0.018597,0.021975,76.607544,5.00e-04
51,0.019161,0.047431,120.340729,5.00e-04
52,0.020420,0.026227,85.420052,5.00e-04
53,0.017533,0.022844,79.414093,5.00e-04
54,0.017461,0.023423,76.497849,5.00e-04
55,0.018245,0.027838,92.131096,5.00e-04
56,0.016988,0.025737,84.719749,5.00e-04
57,0.017777,0.024391,69.383034,5.00e-04
58,0.016369,0.026237,80.814880,5.00e-04
59,0.016411,0.033190,102.584099,5.00e-04
60,0.015993,0.023939,82.166382,5.00e-04
61,0.015144,0.022321,62.803078,5.00e-04
62,0.016408,0.035452,117.329292,5.00e-04
63,0.015661,0.024925,84.928139,5.00e-04
64,0.014987,0.021130,72.092155,5.00e-04
65,0.014613,0.034022,138.449509,5.00e-04
66,0.014872,0.029276,96.708046,5.00e-04
67,0.015752,0.027738,97.503815,5.00e-04
68,0.016367,0.035418,104.329987,5.00e-04
69,0.012911,0.025148,86.762184,5.00e-04
70,0.013388,0.022871,78.113838,5.00e-04
71,0.013438,0.022852,80.618210,5.00e-04
72,0.013401,0.025611,73.342514,5.00e-04
73,0.014237,0.021401,69.558891,5.00e-04
74,0.013478,0.020401,72.074509,5.00e-04
75,0.011896,0.026892,103.675354,5.00e-04
76,0.012708,0.020533,67.054222,5.00e-04
