epoch,train_loss,val_loss,val_mae,lr
1,0.281777,0.251208,397.723602,5.00e-04
2,0.212455,0.328580,474.471924,5.00e-04
3,0.165565,0.161571,296.117157,5.00e-04
4,0.135289,0.212193,381.001923,5.00e-04
5,0.116213,0.155817,259.963745,5.00e-04
6,0.099714,0.177103,333.985413,5.00e-04
7,0.088189,0.168257,327.369568,5.00e-04
8,0.078819,0.073662,184.917511,5.00e-04
9,0.071635,0.141234,270.575775,5.00e-04
10,0.066180,0.067805,182.481522,5.00e-04
11,0.060672,0.066344,179.152298,5.00e-04
12,0.056484,0.072364,192.896164,5.00e-04
13,0.053207,0.107431,222.414474,5.00e-04
14,0.050246,0.052231,167.265854,5.00e-04
15,0.046987,0.122674,219.193741,5.00e-04
16,0.045087,0.067439,191.155869,5.00e-04
17,0.042236,0.121200,291.319794,5.00e-04
18,0.040040,0.076733,217.571594,5.00e-04
19,0.038951,0.071443,238.638977,5.00e-04
20,0.036375,0.046302,155.527039,5.00e-04
21,0.034733,0.042700,137.397812,5.00e-04
22,0.033902,0.057398,183.062561,5.00e-04
23,0.031474,0.070272,196.132446,5.00e-04
24,0.031568,0.040471,139.366852,5.00e-04
25,0.028845,0.039774,149.675644,5.00e-04
26,0.027867,0.072716,235.374527,5.00e-04
27,0.027053,0.041807,144.047089,5.00e-04
28,0.026520,0.038888,133.424408,5.00e-04
29,0.024957,0.053032,161.362915,5.00e-04
30,0.024822,0.034398,129.260971,5.00e-04
31,0.023206,0.053897,163.155563,5.00e-04
32,0.022263,0.031286,113.285446,5.00e-04
33,0.022576,0.034302,131.278107,5.00e-04
34,0.021640,0.029279,130.003479,5.00e-04
35,0.021299,0.098996,285.187714,5.00e-04
36,0.020088,0.044766,181.663635,5.00e-04
37,0.019089,0.068362,229.070877,5.00e-04
38,0.019443,0.035601,112.463539,5.00e-04
39,0.019216,0.031524,118.892273,5.00e-04
40,0.017780,0.034072,123.019989,5.00e-04
41,0.017479,0.042371,153.161514,5.00e-04
42,0.017188,0.018004,83.137032,5.00e-04
43,0.016438,0.031115,133.486160,5.00e-04
44,0.016219,0.048882,187.693283,5.00e-04
45,0.015814,0.027218,136.088913,5.00e-04
46,0.015928,0.036679,123.602013,5.00e-04
47,0.014851,0.021727,106.770004,5.00e-04
48,0.015365,0.017827,79.972557,5.00e-04
49,0.014323,0.014439,77.627182,5.00e-04
50,0.014442,0.018661,77.642914,5.00e-04
51,0.013591,0.074590,206.116882,5.00e-04
52,0.013826,0.033487,116.303673,5.00e-04
53,0.013282,0.050892,180.955612,5.00e-04
54,0.013851,0.067084,222.578842,5.00e-04
55,0.012673,0.015823,74.844109,5.00e-04
56,0.013356,0.029746,105.568512,5.00e-04
57,0.012697,0.017511,78.665771,5.00e-04
58,0.011948,0.072080,231.714539,5.00e-04
59,0.012359,0.013886,72.645699,5.00e-04
60,0.011524,0.025775,139.332428,5.00e-04
61,0.011234,0.024646,118.953690,5.00e-04
62,0.011281,0.054366,199.688126,5.00e-04
63,0.011627,0.016846,77.053238,5.00e-04
64,0.011051,0.030773,132.603958,5.00e-04
65,0.011219,0.018751,106.352119,5.00e-04
66,0.011043,0.015447,77.035217,5.00e-04
67,0.011014,0.021255,106.514694,5.00e-04
68,0.010746,0.025502,133.672104,5.00e-04
69,0.010467,0.029672,112.405075,5.00e-04
70,0.010470,0.015405,75.767860,5.00e-04
71,0.009958,0.076635,155.903046,5.00e-04
72,0.010308,0.016803,76.596878,5.00e-04
73,0.010040,0.064854,203.922836,5.00e-04
74,0.009385,0.016319,87.404396,5.00e-04
