epoch,train_loss,val_loss,val_mae,lr
1,0.294350,0.239562,389.376556,5.00e-04
2,0.211603,0.222587,324.182220,5.00e-04
3,0.169930,0.185270,318.234833,5.00e-04
4,0.143955,0.151611,292.790253,5.00e-04
5,0.122931,0.157967,286.730194,5.00e-04
6,0.107882,0.174673,352.250244,5.00e-04
7,0.097474,0.098858,220.742569,5.00e-04
8,0.088230,0.227279,413.125732,5.00e-04
9,0.077330,0.149030,315.065002,5.00e-04
10,0.074723,0.073877,192.836411,5.00e-04
11,0.066533,0.098348,244.484985,5.00e-04
12,0.064136,0.100118,213.750671,5.00e-04
13,0.059444,0.062135,178.051346,5.00e-04
14,0.056145,0.066531,182.177841,5.00e-04
15,0.053143,0.066116,190.960327,5.00e-04
16,0.049642,0.076770,183.313080,5.00e-04
17,0.047614,0.067934,199.184967,5.00e-04
18,0.044854,0.056157,179.974319,5.00e-04
19,0.043385,0.109777,289.271027,5.00e-04
20,0.041400,0.053551,176.149872,5.00e-04
21,0.040147,0.100962,210.015976,5.00e-04
22,0.037374,0.045685,139.084396,5.00e-04
23,0.038360,0.074575,207.707718,5.00e-04
24,0.034835,0.044763,139.294846,5.00e-04
25,0.034499,0.041719,133.484955,5.00e-04
26,0.033307,0.040991,131.172760,5.00e-04
27,0.032039,0.042700,165.567123,5.00e-04
28,0.030727,0.035049,121.139580,5.00e-04
29,0.030794,0.072472,201.409821,5.00e-04
30,0.029267,0.071877,196.018494,5.00e-04
31,0.027432,0.049605,156.295441,5.00e-04
32,0.027577,0.064000,178.380722,5.00e-04
33,0.026709,0.043141,164.848404,5.00e-04
34,0.026468,0.042109,142.649628,5.00e-04
35,0.024718,0.036974,147.696228,5.00e-04
36,0.024460,0.031255,118.923508,5.00e-04
37,0.023819,0.048665,183.902054,5.00e-04
38,0.023656,0.033607,120.900665,5.00e-04
39,0.023219,0.034507,137.934021,5.00e-04
40,0.022169,0.060273,175.387711,5.00e-04
41,0.022414,0.047485,146.223938,5.00e-04
42,0.021793,0.034646,112.645798,5.00e-04
43,0.021278,0.087576,279.950287,5.00e-04
44,0.020078,0.028863,112.471794,5.00e-04
45,0.019863,0.026601,108.569458,5.00e-04
46,0.020147,0.129899,320.392639,5.00e-04
47,0.020193,0.083327,209.572113,5.00e-04
48,0.019717,0.022396,89.479828,5.00e-04
49,0.019405,0.024889,113.140221,5.00e-04
50,0.018636,0.021637,89.034760,5.00e-04
51,0.018336,0.073628,207.912659,5.00e-04
52,0.017857,0.031965,106.923218,5.00e-04
53,0.017233,0.034137,116.692963,5.00e-04
54,0.018154,0.032662,128.273376,5.00e-04
55,0.016716,0.021666,91.409653,5.00e-04
56,0.017459,0.024928,103.927055,5.00e-04
57,0.016477,0.030151,142.506622,5.00e-04
58,0.016997,0.030211,133.596848,5.00e-04
59,0.016452,0.031880,130.352859,5.00e-04
60,0.015897,0.034825,145.445480,5.00e-04
61,0.016454,0.021040,104.883469,5.00e-04
62,0.015614,0.023056,114.147011,5.00e-04
63,0.015412,0.019112,85.835968,5.00e-04
64,0.015517,0.042055,127.712631,5.00e-04
65,0.014729,0.046620,150.674438,5.00e-04
66,0.014652,0.023935,105.246223,5.00e-04
67,0.014639,0.024393,103.761009,5.00e-04
68,0.014871,0.026792,104.438087,5.00e-04
69,0.014320,0.023438,98.244911,5.00e-04
70,0.014003,0.049431,143.638885,5.00e-04
71,0.014243,0.016424,76.905037,5.00e-04
72,0.014530,0.032934,134.568970,5.00e-04
73,0.013903,0.033764,131.363022,5.00e-04
74,0.013842,0.022718,94.514908,5.00e-04
75,0.013382,0.026084,121.467827,5.00e-04
76,0.013315,0.019155,91.993446,5.00e-04
77,0.012571,0.025427,118.065132,5.00e-04
78,0.012475,0.032270,128.215714,5.00e-04
79,0.013332,0.025008,107.421997,5.00e-04
80,0.012906,0.027856,114.841339,5.00e-04
81,0.012503,0.023098,98.722580,5.00e-04
82,0.012264,0.016704,84.201523,5.00e-04
83,0.012085,0.017507,83.365837,5.00e-04
84,0.012526,0.016103,78.455330,5.00e-04
85,0.012320,0.025854,112.338943,5.00e-04
86,0.011327,0.023344,98.211838,5.00e-04
