epoch,train_loss,val_loss,val_mae,lr
1,0.292288,0.248798,336.164520,5.00e-04
2,0.208090,0.236616,399.408417,5.00e-04
3,0.168633,0.212199,300.999176,5.00e-04
4,0.141596,0.141185,258.721558,5.00e-04
5,0.121980,0.125418,276.778564,5.00e-04
6,0.106762,0.153244,280.399933,5.00e-04
7,0.094409,0.090838,211.789810,5.00e-04
8,0.084996,0.171345,325.244812,5.00e-04
9,0.076421,0.073517,204.459030,5.00e-04
10,0.069525,0.079305,215.317841,5.00e-04
11,0.064547,0.091119,212.558853,5.00e-04
12,0.059602,0.137314,330.876129,5.00e-04
13,0.057177,0.063860,174.310410,5.00e-04
14,0.053409,0.104700,282.029968,5.00e-04
15,0.051116,0.064121,186.209641,5.00e-04
16,0.048511,0.058992,182.603348,5.00e-04
17,0.045510,0.110821,294.562378,5.00e-04
18,0.043409,0.071952,199.170715,5.00e-04
19,0.041093,0.241596,409.179810,5.00e-04
20,0.039151,0.067406,191.455109,5.00e-04
21,0.037846,0.102729,281.824280,5.00e-04
22,0.036122,0.073015,194.432816,5.00e-04
23,0.035487,0.110520,285.718750,5.00e-04
24,0.033467,0.043010,150.317032,5.00e-04
25,0.031278,0.037279,131.813858,5.00e-04
26,0.031593,0.054766,196.635925,5.00e-04
27,0.030098,0.055413,201.197113,5.00e-04
28,0.030166,0.043069,154.960693,5.00e-04
29,0.028052,0.042074,150.399612,5.00e-04
30,0.028932,0.081783,245.852676,5.00e-04
31,0.026462,0.076535,241.694916,5.00e-04
32,0.026200,0.029850,116.995117,5.00e-04
33,0.025860,0.033806,129.925980,5.00e-04
34,0.024581,0.040129,127.023399,5.00e-04
35,0.024499,0.054306,202.305801,5.00e-04
36,0.024362,0.061464,199.767136,5.00e-04
37,0.024105,0.025607,107.960098,5.00e-04
38,0.022628,0.033200,131.323349,5.00e-04
39,0.022831,0.051106,148.714813,5.00e-04
40,0.022629,0.029642,119.716461,5.00e-04
41,0.021245,0.038082,164.141068,5.00e-04
42,0.020945,0.020644,94.056717,5.00e-04
43,0.020976,0.067825,188.676697,5.00e-04
44,0.020773,0.035830,135.648834,5.00e-04
45,0.020019,0.251829,442.167633,5.00e-04
46,0.019683,0.029612,139.484970,5.00e-04
47,0.019439,0.032192,134.152512,5.00e-04
48,0.019004,0.033064,123.740387,5.00e-04
49,0.018797,0.036691,140.116425,5.00e-04
50,0.018607,0.036293,136.757660,5.00e-04
51,0.017313,0.043022,163.026688,5.00e-04
52,0.018420,0.059235,202.796448,5.00e-04
53,0.017904,0.026655,120.241745,5.00e-04
54,0.016971,0.034844,127.022919,5.00e-04
55,0.016939,0.017963,80.140175,5.00e-04
56,0.016140,0.034907,126.216057,5.00e-04
57,0.016626,0.028758,128.653442,5.00e-04
58,0.017392,0.029886,118.143829,5.00e-04
59,0.016132,0.057307,165.953445,5.00e-04
60,0.016618,0.019841,97.811218,5.00e-04
61,0.016363,0.020168,88.875603,5.00e-04
62,0.014662,0.017795,80.365242,5.00e-04
63,0.015788,0.022803,98.469093,5.00e-04
64,0.014956,0.019848,91.870377,5.00e-04
65,0.015126,0.032079,142.034393,5.00e-04
66,0.014850,0.017339,81.644279,5.00e-04
67,0.014152,0.021278,99.066200,5.00e-04
68,0.014138,0.032659,127.170509,5.00e-04
69,0.014468,0.016343,80.672798,5.00e-04
70,0.013968,0.017596,89.989594,5.00e-04
