epoch,train_loss,val_loss,val_mae,lr
1,0.376998,0.388676,390.944366,5.00e-04
2,0.358664,0.372845,452.707458,5.00e-04
3,0.347639,0.359295,383.808899,5.00e-04
4,0.343095,0.358842,392.135468,5.00e-04
5,0.334660,0.341568,386.793488,5.00e-04
6,0.321889,0.374261,387.841614,5.00e-04
7,0.308514,0.402812,584.839233,5.00e-04
8,0.293541,0.349449,411.440613,5.00e-04
9,0.275223,0.364477,482.891144,5.00e-04
10,0.255802,0.340320,517.252625,5.00e-04
11,0.242728,0.522698,569.103699,5.00e-04
12,0.230610,1.588389,1195.786255,5.00e-04
13,0.222379,0.642447,689.862244,5.00e-04
14,0.213194,0.335948,411.640839,5.00e-04
15,0.209123,0.226476,324.598114,5.00e-04
16,0.202446,0.513347,575.484436,5.00e-04
17,0.196800,0.356530,433.971710,5.00e-04
18,0.192188,0.207534,317.354309,5.00e-04
19,0.188027,0.734020,823.766113,5.00e-04
20,0.187626,0.553721,705.956665,5.00e-04
21,0.181132,0.283550,393.818481,5.00e-04
22,0.177622,0.190532,303.550354,5.00e-04
23,0.175092,0.376130,491.356415,5.00e-04
24,0.172549,0.637935,685.704590,5.00e-04
25,0.169873,0.439321,552.781006,5.00e-04
26,0.168136,0.265895,411.829651,5.00e-04
27,0.165722,0.358476,477.701813,5.00e-04
28,0.164009,1.791258,1124.878296,5.00e-04
29,0.160303,0.253125,337.434875,5.00e-04
30,0.160222,0.289675,422.183075,5.00e-04
31,0.156529,0.622026,740.333923,5.00e-04
32,0.156627,0.402973,507.459595,5.00e-04
33,0.153528,0.201240,351.006653,5.00e-04
34,0.152543,0.189245,280.948792,5.00e-04
35,0.150944,0.571798,622.188538,5.00e-04
36,0.146644,0.255813,383.840210,5.00e-04
37,0.146431,0.341774,461.448486,5.00e-04
38,0.145052,1.016413,878.428589,5.00e-04
39,0.145224,0.189118,273.986084,5.00e-04
40,0.143164,1.968772,1276.649902,5.00e-04
41,0.142129,2.258237,1503.616577,5.00e-04
42,0.138304,0.456288,588.307129,5.00e-04
43,0.138513,1.493151,1121.235474,5.00e-04
44,0.136629,0.464646,602.916138,5.00e-04
45,0.137135,0.595772,693.517761,5.00e-04
46,0.134663,0.927846,958.449829,5.00e-04
47,0.135656,0.178215,297.181030,5.00e-04
48,0.132063,0.406107,543.266663,5.00e-04
49,0.131201,0.244908,449.909363,5.00e-04
50,0.131665,1.642473,1243.635986,5.00e-04
51,0.129748,0.232981,342.955444,5.00e-04
52,0.131266,0.527946,699.950134,5.00e-04
53,0.128456,0.211571,368.253998,5.00e-04
54,0.127413,3.021017,1709.566650,5.00e-04
