epoch,train_loss,val_loss,val_mae,lr
1,0.373919,0.357004,408.443390,5.00e-04
2,0.328791,0.313429,404.716583,5.00e-04
3,0.290130,0.267703,362.520355,5.00e-04
4,0.250545,0.239237,313.038513,5.00e-04
5,0.217476,0.219080,287.259308,5.00e-04
6,0.188139,0.190973,320.431152,5.00e-04
7,0.163147,0.158845,291.052948,5.00e-04
8,0.141791,0.127845,240.134949,5.00e-04
9,0.130844,0.138711,255.582581,5.00e-04
10,0.118367,0.118740,219.586838,5.00e-04
11,0.110889,0.100619,200.918655,5.00e-04
12,0.102428,0.103034,204.098053,5.00e-04
13,0.096578,0.089680,187.398956,5.00e-04
14,0.091513,0.085439,179.227158,5.00e-04
15,0.084262,0.088609,174.867340,5.00e-04
16,0.081800,0.088812,186.395096,5.00e-04
17,0.080314,0.100071,222.797989,5.00e-04
18,0.074917,0.080483,184.716141,5.00e-04
19,0.072625,0.080057,184.415482,5.00e-04
20,0.068427,0.071428,167.258408,5.00e-04
21,0.066073,0.079740,181.820892,5.00e-04
22,0.062478,0.071655,162.827316,5.00e-04
23,0.063151,0.073290,176.126617,5.00e-04
24,0.060900,0.067873,156.061371,5.00e-04
25,0.058891,0.058517,140.804550,5.00e-04
26,0.055807,0.052807,141.745026,5.00e-04
27,0.053247,0.065487,164.755127,5.00e-04
28,0.051357,0.057632,135.723557,5.00e-04
29,0.052768,0.052794,122.820236,5.00e-04
30,0.050462,0.061770,139.469040,5.00e-04
31,0.047760,0.056696,142.315506,5.00e-04
32,0.047342,0.059361,151.766983,5.00e-04
33,0.049352,0.063021,158.522995,5.00e-04
34,0.045063,0.055456,140.195923,5.00e-04
35,0.040871,0.055831,139.438751,5.00e-04
36,0.043395,0.054531,140.270981,5.00e-04
37,0.043218,0.054604,127.011253,5.00e-04
38,0.039672,0.050880,132.425583,5.00e-04
39,0.040545,0.049191,132.902664,5.00e-04
40,0.041203,0.050793,127.159142,5.00e-04
41,0.037729,0.056545,155.982117,5.00e-04
42,0.037335,0.041181,105.461327,5.00e-04
43,0.037116,0.050137,124.924416,5.00e-04
44,0.036622,0.053402,143.206558,5.00e-04
45,0.036285,0.048425,140.185043,5.00e-04
46,0.035151,0.042916,113.805054,5.00e-04
47,0.034370,0.045069,128.173721,5.00e-04
48,0.033403,0.044946,121.568199,5.00e-04
49,0.032760,0.042071,115.865204,5.00e-04
50,0.033505,0.046612,114.947792,5.00e-04
51,0.031949,0.046245,112.746826,5.00e-04
52,0.031279,0.045428,127.209549,5.00e-04
53,0.033845,0.042755,108.597160,5.00e-04
54,0.030315,0.041011,115.880104,5.00e-04
55,0.030324,0.057419,165.671600,5.00e-04
56,0.031219,0.051262,142.453964,5.00e-04
57,0.029853,0.042639,108.674446,5.00e-04
58,0.030267,0.039531,105.405975,5.00e-04
59,0.028057,0.047726,143.859375,5.00e-04
60,0.029477,0.039256,108.286491,5.00e-04
61,0.027336,0.040886,109.850533,5.00e-04
62,0.028190,0.037746,101.912689,5.00e-04
63,0.028604,0.037359,98.645378,5.00e-04
64,0.028156,0.049086,144.345184,5.00e-04
65,0.027017,0.036531,93.816673,5.00e-04
66,0.026657,0.036076,105.465500,5.00e-04
67,0.026706,0.041018,111.783287,5.00e-04
68,0.025882,0.051156,150.079514,5.00e-04
69,0.027134,0.038133,100.045135,5.00e-04
70,0.026509,0.036865,98.804268,5.00e-04
71,0.023890,0.035052,96.792274,5.00e-04
72,0.025662,0.035384,90.638977,5.00e-04
73,0.024530,0.040201,102.242188,5.00e-04
74,0.024320,0.031748,90.193016,5.00e-04
75,0.022427,0.037977,91.094376,5.00e-04
76,0.024569,0.052083,131.623962,5.00e-04
77,0.024572,0.039932,111.446877,5.00e-04
78,0.026825,0.036785,95.691483,5.00e-04
79,0.023381,0.036082,88.843483,5.00e-04
80,0.021546,0.041075,96.503036,5.00e-04
81,0.023685,0.035117,87.566849,5.00e-04
82,0.021743,0.033477,102.933655,5.00e-04
83,0.022927,0.036987,107.471985,5.00e-04
84,0.021888,0.035771,88.149605,5.00e-04
85,0.021279,0.035992,92.339722,5.00e-04
86,0.022214,0.041457,109.702415,5.00e-04
87,0.021292,0.041900,132.361389,5.00e-04
88,0.022622,0.037742,112.489174,5.00e-04
89,0.021444,0.042382,103.831856,5.00e-04
90,0.020906,0.038045,111.575325,5.00e-04
91,0.020881,0.032444,77.717361,5.00e-04
92,0.018924,0.030467,82.874725,5.00e-04
93,0.019448,0.032874,96.346664,5.00e-04
94,0.020839,0.040013,102.727608,5.00e-04
95,0.022390,0.034260,92.867546,5.00e-04
96,0.020969,0.034638,99.124092,5.00e-04
97,0.020054,0.036851,107.130493,5.00e-04
98,0.021039,0.030796,78.981697,5.00e-04
99,0.019709,0.032140,88.082054,5.00e-04
100,0.018482,0.032196,87.862045,5.00e-04
101,0.018054,0.030837,91.322975,5.00e-04
102,0.017840,0.031060,79.284607,5.00e-04
103,0.018023,0.033382,100.606003,5.00e-04
104,0.018264,0.029974,79.087708,5.00e-04
105,0.017783,0.031304,81.283096,5.00e-04
106,0.020962,0.037864,91.088181,5.00e-04
107,0.019371,0.032612,93.359390,5.00e-04
108,0.018226,0.030553,80.233765,5.00e-04
109,0.017359,0.032889,82.817444,5.00e-04
110,0.017009,0.032681,99.143730,5.00e-04
111,0.020014,0.034348,84.854370,5.00e-04
112,0.019736,0.034606,97.130676,5.00e-04
113,0.016544,0.032891,87.900635,5.00e-04
114,0.016024,0.033873,96.803162,5.00e-04
115,0.016904,0.032019,79.617630,5.00e-04
116,0.017067,0.027803,68.131821,5.00e-04
117,0.015843,0.031085,89.554062,5.00e-04
118,0.016545,0.034859,95.206779,5.00e-04
119,0.017994,0.033540,83.737137,5.00e-04
120,0.016734,0.031214,78.429855,5.00e-04
121,0.016142,0.030957,87.732704,5.00e-04
122,0.016597,0.029567,73.717751,5.00e-04
123,0.016960,0.028160,69.086617,5.00e-04
124,0.014972,0.031851,79.077637,5.00e-04
125,0.015570,0.035380,93.663322,5.00e-04
126,0.016565,0.029104,76.916336,5.00e-04
127,0.016461,0.028485,72.142700,5.00e-04
128,0.013989,0.030078,93.782555,5.00e-04
129,0.015032,0.030667,85.347473,5.00e-04
130,0.014699,0.029315,78.803802,5.00e-04
131,0.014077,0.031370,77.569908,5.00e-04
132,0.014590,0.030059,75.103523,5.00e-04
133,0.014300,0.030524,83.095322,5.00e-04
134,0.013815,0.028051,73.723869,5.00e-04
135,0.014172,0.028639,86.713844,5.00e-04
136,0.014017,0.031746,83.075729,5.00e-04
137,0.015816,0.030327,80.319359,5.00e-04
138,0.015452,0.031471,87.270424,5.00e-04
139,0.014523,0.029448,75.047447,5.00e-04
140,0.012977,0.031183,83.773323,5.00e-04
141,0.013248,0.027926,68.510788,5.00e-04
142,0.014040,0.029713,80.366409,5.00e-04
143,0.013787,0.032128,81.207314,5.00e-04
144,0.016464,0.037707,94.083832,5.00e-04
145,0.013780,0.028337,72.058746,5.00e-04
146,0.012811,0.031474,85.883255,5.00e-04
