epoch,train_loss,val_loss,val_mae,lr
1,0.372898,0.352764,399.654480,5.00e-04
2,0.325305,0.317114,414.372009,5.00e-04
3,0.286068,0.283195,342.542236,5.00e-04
4,0.246351,0.255605,357.190704,5.00e-04
5,0.205675,0.191308,312.271484,5.00e-04
6,0.171442,0.161467,291.016602,5.00e-04
7,0.147648,0.146833,253.168518,5.00e-04
8,0.135560,0.110931,218.690231,5.00e-04
9,0.113224,0.110796,226.506989,5.00e-04
10,0.106803,0.103092,222.316208,5.00e-04
11,0.093782,0.095944,196.283997,5.00e-04
12,0.089623,0.100337,214.742340,5.00e-04
13,0.085191,0.081557,190.211441,5.00e-04
14,0.081658,0.085592,195.673981,5.00e-04
15,0.074514,0.066897,164.244308,5.00e-04
16,0.068198,0.070101,173.133804,5.00e-04
17,0.066753,0.077712,176.322464,5.00e-04
18,0.062393,0.077107,179.539352,5.00e-04
19,0.062687,0.069876,174.056625,5.00e-04
20,0.057580,0.061612,157.887558,5.00e-04
21,0.056501,0.064867,162.237823,5.00e-04
22,0.053644,0.094470,235.232513,5.00e-04
23,0.050611,0.053668,136.219498,5.00e-04
24,0.051452,0.052243,138.777527,5.00e-04
25,0.047580,0.063912,153.923813,5.00e-04
26,0.045915,0.053085,133.754074,5.00e-04
27,0.043848,0.051075,131.336533,5.00e-04
28,0.043537,0.059553,159.983612,5.00e-04
29,0.044048,0.059131,149.206619,5.00e-04
30,0.039584,0.050369,134.474442,5.00e-04
31,0.040629,0.051751,138.576401,5.00e-04
32,0.040984,0.054663,146.934418,5.00e-04
33,0.037710,0.049323,123.296928,5.00e-04
34,0.037298,0.056712,146.043137,5.00e-04
35,0.038277,0.055825,152.379517,5.00e-04
36,0.036913,0.054935,141.742325,5.00e-04
37,0.036615,0.043083,117.387459,5.00e-04
38,0.033890,0.040086,108.845039,5.00e-04
39,0.031234,0.044044,110.450333,5.00e-04
40,0.032034,0.053126,145.994843,5.00e-04
41,0.031985,0.043463,129.953278,5.00e-04
42,0.030445,0.037435,106.173874,5.00e-04
43,0.029477,0.045237,109.127083,5.00e-04
44,0.030913,0.060273,155.505508,5.00e-04
45,0.030964,0.040939,106.515678,5.00e-04
46,0.029134,0.040019,111.430023,5.00e-04
47,0.028376,0.041288,113.803993,5.00e-04
48,0.029925,0.046332,116.388985,5.00e-04
49,0.027108,0.036807,103.121033,5.00e-04
50,0.025539,0.036831,104.940666,5.00e-04
51,0.027189,0.037838,104.409340,5.00e-04
52,0.025870,0.042959,117.945068,5.00e-04
53,0.025743,0.042391,137.431015,5.00e-04
54,0.025022,0.043411,118.759735,5.00e-04
55,0.024459,0.043848,118.718346,5.00e-04
56,0.023441,0.037466,101.791191,5.00e-04
57,0.022865,0.038549,118.044205,5.00e-04
58,0.023902,0.033251,95.380302,5.00e-04
59,0.023713,0.036615,103.102257,5.00e-04
60,0.023422,0.036269,102.396774,5.00e-04
61,0.022890,0.037494,100.853783,5.00e-04
62,0.021779,0.035364,103.724525,5.00e-04
63,0.022124,0.031205,91.456451,5.00e-04
64,0.020717,0.032219,86.932487,5.00e-04
65,0.020291,0.035535,107.041992,5.00e-04
66,0.020179,0.031180,90.465736,5.00e-04
67,0.019558,0.035442,104.506668,5.00e-04
68,0.020847,0.030919,88.471626,5.00e-04
69,0.021001,0.028806,78.206413,5.00e-04
70,0.018629,0.034389,92.582932,5.00e-04
71,0.018201,0.044506,128.903442,5.00e-04
72,0.019011,0.036293,98.019508,5.00e-04
73,0.018546,0.029910,92.076744,5.00e-04
74,0.018684,0.031184,86.412117,5.00e-04
75,0.017924,0.033768,92.096329,5.00e-04
76,0.018070,0.029675,87.340324,5.00e-04
77,0.017335,0.031312,87.683426,5.00e-04
78,0.017120,0.032330,92.407265,5.00e-04
79,0.015978,0.030152,94.840836,5.00e-04
80,0.016506,0.027585,78.730011,5.00e-04
81,0.018390,0.036853,102.674126,5.00e-04
82,0.016757,0.026894,80.778938,5.00e-04
83,0.015440,0.034303,97.483749,5.00e-04
84,0.016036,0.033209,91.269394,5.00e-04
85,0.015710,0.035815,84.948723,5.00e-04
86,0.014426,0.031214,76.378639,5.00e-04
87,0.015564,0.032908,95.801003,5.00e-04
88,0.018372,0.036130,98.356308,5.00e-04
89,0.015656,0.029158,78.296265,5.00e-04
90,0.013694,0.027655,74.645767,5.00e-04
91,0.013536,0.027444,83.736984,5.00e-04
92,0.014491,0.028912,77.505890,5.00e-04
93,0.013061,0.030507,75.622940,5.00e-04
94,0.013610,0.029093,70.524155,5.00e-04
95,0.014057,0.025501,67.707329,5.00e-04
96,0.014261,0.033115,99.110001,5.00e-04
97,0.017264,0.028648,77.156509,5.00e-04
98,0.013242,0.028551,82.144241,5.00e-04
99,0.011561,0.025192,69.074585,5.00e-04
100,0.011594,0.028302,79.896950,5.00e-04
101,0.011712,0.028549,77.458252,5.00e-04
102,0.013018,0.029294,80.043045,5.00e-04
103,0.013942,0.031661,87.636559,5.00e-04
104,0.011775,0.026393,74.382492,5.00e-04
105,0.012882,0.024912,66.607208,5.00e-04
106,0.012273,0.025953,70.089539,5.00e-04
107,0.012127,0.027406,78.097046,5.00e-04
108,0.011574,0.027966,80.834717,5.00e-04
109,0.011820,0.027086,73.109764,5.00e-04
110,0.014053,0.027258,81.931885,5.00e-04
111,0.012360,0.027276,70.166557,5.00e-04
112,0.011361,0.025058,68.841515,5.00e-04
113,0.010866,0.023761,61.288868,5.00e-04
114,0.010488,0.026655,70.348732,5.00e-04
115,0.014764,0.027497,66.245407,5.00e-04
116,0.011267,0.027136,73.057610,5.00e-04
117,0.010451,0.026954,68.356873,5.00e-04
118,0.009930,0.025902,74.139648,5.00e-04
119,0.009921,0.025049,73.597733,5.00e-04
120,0.010808,0.025983,76.387672,5.00e-04
121,0.011299,0.029800,82.830551,5.00e-04
122,0.010901,0.027033,61.827538,5.00e-04
123,0.009582,0.024511,65.878654,5.00e-04
124,0.010490,0.025698,66.741234,5.00e-04
125,0.010144,0.025031,66.978241,5.00e-04
126,0.009209,0.027419,77.000137,5.00e-04
127,0.010818,0.028799,76.638046,5.00e-04
128,0.010431,0.026383,64.911385,5.00e-04
129,0.009294,0.024846,66.245850,5.00e-04
130,0.009872,0.029780,96.962479,5.00e-04
131,0.011034,0.024476,64.724442,5.00e-04
132,0.009797,0.026233,70.688316,5.00e-04
133,0.009168,0.025417,63.850185,5.00e-04
134,0.008853,0.026668,67.111130,5.00e-04
135,0.008519,0.027894,74.506126,5.00e-04
136,0.012320,0.026235,67.886566,5.00e-04
137,0.009436,0.025757,56.362328,5.00e-04
138,0.008171,0.030891,90.574440,5.00e-04
139,0.008976,0.024953,67.180367,5.00e-04
140,0.008959,0.027538,74.820557,5.00e-04
141,0.009248,0.028770,72.557167,5.00e-04
142,0.008859,0.026909,66.651985,5.00e-04
143,0.008197,0.027380,66.593147,5.00e-04
144,0.008540,0.030868,71.958382,5.00e-04
145,0.008682,0.027275,68.219444,5.00e-04
146,0.008853,0.023762,58.488163,5.00e-04
147,0.008235,0.027001,71.325554,5.00e-04
148,0.008058,0.027117,69.173050,5.00e-04
149,0.010983,0.028449,74.386292,5.00e-04
150,0.009844,0.030419,86.229431,5.00e-04
151,0.008012,0.025468,66.014847,5.00e-04
152,0.007793,0.025337,62.901134,5.00e-04
153,0.007658,0.026918,63.273891,5.00e-04
154,0.009220,0.026520,63.081856,5.00e-04
155,0.008108,0.024562,57.179276,5.00e-04
156,0.007617,0.026590,59.082233,5.00e-04
157,0.007413,0.023968,55.461342,5.00e-04
158,0.007827,0.028052,71.108116,5.00e-04
159,0.007252,0.026886,58.592453,5.00e-04
160,0.007807,0.027296,70.256111,5.00e-04
161,0.007309,0.024215,56.153816,5.00e-04
162,0.008099,0.028802,76.845840,5.00e-04
163,0.008617,0.024998,59.468536,5.00e-04
164,0.007921,0.026562,64.596855,5.00e-04
165,0.008226,0.028427,75.288307,5.00e-04
166,0.007388,0.025058,55.973923,5.00e-04
167,0.006552,0.027164,60.962440,5.00e-04
168,0.006485,0.023630,53.653900,5.00e-04
169,0.006952,0.026528,61.875263,5.00e-04
170,0.007639,0.027041,69.637772,5.00e-04
