epoch,train_loss,val_loss,val_mae,lr
1,0.374032,0.346172,381.674377,5.00e-04
2,0.317864,0.290574,377.811676,5.00e-04
3,0.271060,0.260018,367.663422,5.00e-04
4,0.227772,0.228858,347.987091,5.00e-04
5,0.186000,0.203021,317.321136,5.00e-04
6,0.154238,0.143431,274.241577,5.00e-04
7,0.135144,0.115235,213.343246,5.00e-04
8,0.118059,0.103995,218.196381,5.00e-04
9,0.109039,0.116322,222.280502,5.00e-04
10,0.098465,0.112262,227.547333,5.00e-04
11,0.090205,0.096885,201.693344,5.00e-04
12,0.085407,0.074930,174.535950,5.00e-04
13,0.080355,0.087010,182.855209,5.00e-04
14,0.075366,0.073801,174.839996,5.00e-04
15,0.070620,0.072750,173.994934,5.00e-04
16,0.067615,0.061665,148.164291,5.00e-04
17,0.064402,0.067108,165.439926,5.00e-04
18,0.059870,0.062877,158.287003,5.00e-04
19,0.057168,0.076920,189.844269,5.00e-04
20,0.053842,0.065231,174.455322,5.00e-04
21,0.051997,0.052713,139.477417,5.00e-04
22,0.047903,0.059279,153.309235,5.00e-04
23,0.047262,0.047935,129.202560,5.00e-04
24,0.046004,0.048634,136.245773,5.00e-04
25,0.044020,0.054111,146.054428,5.00e-04
26,0.043474,0.048368,140.539749,5.00e-04
27,0.041215,0.050518,131.556335,5.00e-04
28,0.039025,0.059164,154.675278,5.00e-04
29,0.041384,0.049040,126.486053,5.00e-04
30,0.037674,0.040046,111.563622,5.00e-04
31,0.037008,0.048084,136.433563,5.00e-04
32,0.035079,0.040635,117.960579,5.00e-04
33,0.032082,0.038555,124.976830,5.00e-04
34,0.033966,0.039823,119.613182,5.00e-04
35,0.032328,0.044311,136.297470,5.00e-04
36,0.032854,0.044280,120.121162,5.00e-04
37,0.032171,0.036768,111.242699,5.00e-04
38,0.030208,0.035781,108.354393,5.00e-04
39,0.029555,0.038597,116.666588,5.00e-04
40,0.029232,0.030854,93.198891,5.00e-04
41,0.026070,0.039300,120.856216,5.00e-04
42,0.027995,0.029766,98.225372,5.00e-04
43,0.024429,0.030631,97.575279,5.00e-04
44,0.026333,0.031422,99.086571,5.00e-04
45,0.023951,0.029672,99.735168,5.00e-04
46,0.023145,0.028807,97.905563,5.00e-04
47,0.024205,0.035286,105.196785,5.00e-04
48,0.023597,0.029809,102.078568,5.00e-04
49,0.023827,0.028717,105.074837,5.00e-04
50,0.021604,0.032743,101.862015,5.00e-04
51,0.021486,0.030483,95.169502,5.00e-04
52,0.020125,0.025500,91.135239,5.00e-04
53,0.020725,0.027621,84.162521,5.00e-04
54,0.019897,0.028150,96.557495,5.00e-04
55,0.019495,0.028480,89.501587,5.00e-04
56,0.017976,0.029542,88.232040,5.00e-04
57,0.018398,0.029691,86.293137,5.00e-04
58,0.019248,0.027026,84.557755,5.00e-04
59,0.018213,0.025586,86.688644,5.00e-04
60,0.018577,0.026749,88.481453,5.00e-04
61,0.021147,0.032772,102.542351,5.00e-04
62,0.018568,0.025230,80.565048,5.00e-04
63,0.015984,0.023549,76.230217,5.00e-04
64,0.015886,0.027371,89.984581,5.00e-04
65,0.015148,0.026017,84.282028,5.00e-04
66,0.017130,0.032153,98.346291,5.00e-04
67,0.016388,0.026577,98.231216,5.00e-04
68,0.015484,0.022621,76.562637,5.00e-04
69,0.014816,0.024888,78.697357,5.00e-04
70,0.013963,0.021488,69.772469,5.00e-04
71,0.014332,0.024487,84.533958,5.00e-04
72,0.017102,0.027118,96.207031,5.00e-04
73,0.014480,0.021719,74.618126,5.00e-04
74,0.014028,0.023351,80.417931,5.00e-04
75,0.013285,0.021258,76.275803,5.00e-04
76,0.013544,0.021337,75.350967,5.00e-04
77,0.015597,0.023348,76.976265,5.00e-04
78,0.016180,0.025097,82.078621,5.00e-04
79,0.013004,0.023293,73.816948,5.00e-04
80,0.014321,0.024140,84.158745,5.00e-04
81,0.012017,0.024652,81.004173,5.00e-04
82,0.011342,0.021204,69.674828,5.00e-04
83,0.012983,0.023407,75.945488,5.00e-04
84,0.014472,0.029413,77.288368,5.00e-04
85,0.014455,0.020727,67.638298,5.00e-04
86,0.011352,0.023576,70.455154,5.00e-04
87,0.011015,0.025253,88.270370,5.00e-04
88,0.012255,0.019781,64.090439,5.00e-04
89,0.011980,0.020252,68.820564,5.00e-04
90,0.011839,0.025668,76.944115,5.00e-04
91,0.011325,0.020047,60.378857,5.00e-04
92,0.010297,0.018526,58.413364,5.00e-04
93,0.012294,0.020486,63.872116,5.00e-04
94,0.011111,0.028052,86.284218,5.00e-04
95,0.011122,0.022645,78.429893,5.00e-04
96,0.010817,0.020334,64.898819,5.00e-04
97,0.009929,0.020490,62.048183,5.00e-04
98,0.011567,0.019792,63.795094,5.00e-04
99,0.010308,0.020946,70.392998,5.00e-04
100,0.013218,0.019109,60.979095,5.00e-04
101,0.009184,0.022946,89.818604,5.00e-04
102,0.008770,0.022456,73.172440,5.00e-04
103,0.008766,0.021511,60.974422,5.00e-04
104,0.010117,0.022008,66.289482,5.00e-04
105,0.010620,0.020797,71.040642,5.00e-04
106,0.010867,0.020901,74.450951,5.00e-04
107,0.013445,0.024052,83.745544,5.00e-04
108,0.009490,0.020823,66.340233,5.00e-04
109,0.009347,0.020309,64.468124,5.00e-04
110,0.009158,0.019017,56.700569,5.00e-04
111,0.007982,0.021881,67.341408,5.00e-04
112,0.008830,0.020465,65.379723,5.00e-04
113,0.009875,0.025352,79.853188,5.00e-04
114,0.009271,0.019321,58.652115,5.00e-04
115,0.008954,0.018996,62.059666,5.00e-04
116,0.009140,0.020027,55.606571,5.00e-04
117,0.008724,0.020190,62.916142,5.00e-04
118,0.008494,0.018334,56.278214,5.00e-04
119,0.009251,0.017334,55.936321,5.00e-04
120,0.007903,0.019374,63.837532,5.00e-04
121,0.008362,0.018712,57.259636,5.00e-04
122,0.007445,0.018583,57.912937,5.00e-04
123,0.011354,0.017831,62.697308,5.00e-04
124,0.007881,0.017629,58.039421,5.00e-04
125,0.007558,0.019289,58.828079,5.00e-04
126,0.007958,0.020619,64.487267,5.00e-04
127,0.008214,0.023868,80.854713,5.00e-04
128,0.011756,0.025904,76.191711,5.00e-04
129,0.007942,0.018508,72.799767,5.00e-04
130,0.006997,0.016981,57.813232,5.00e-04
131,0.006546,0.018636,59.714512,5.00e-04
132,0.006949,0.018857,57.670158,5.00e-04
133,0.007182,0.017925,54.493923,5.00e-04
