epoch,train_loss,val_loss,val_mae,lr
1,0.291209,0.359374,422.736450,5.00e-04
2,0.211216,0.297538,393.568024,5.00e-04
3,0.174918,0.234312,357.338074,5.00e-04
4,0.148582,0.198597,302.205902,5.00e-04
5,0.125865,0.143866,267.472626,5.00e-04
6,0.113199,0.135591,257.209839,5.00e-04
7,0.102249,0.108927,231.487579,5.00e-04
8,0.091213,0.114990,239.981277,5.00e-04
9,0.083686,0.090413,215.249390,5.00e-04
10,0.076842,0.107844,255.220154,5.00e-04
11,0.070138,0.098331,206.283752,5.00e-04
12,0.065596,0.078224,214.236771,5.00e-04
13,0.062313,0.078552,197.953796,5.00e-04
14,0.057866,0.079401,210.353180,5.00e-04
15,0.052451,0.138116,297.174347,5.00e-04
16,0.051586,0.080745,222.624359,5.00e-04
17,0.048281,0.057816,175.373459,5.00e-04
18,0.046817,0.109038,285.864868,5.00e-04
19,0.045108,0.095578,204.611130,5.00e-04
20,0.042766,0.066644,188.131500,5.00e-04
21,0.040816,0.082207,215.295502,5.00e-04
22,0.039867,0.082522,235.232422,5.00e-04
23,0.038824,0.091538,250.122711,5.00e-04
24,0.036162,0.070454,205.131882,5.00e-04
25,0.035788,0.098101,272.650635,5.00e-04
26,0.034689,0.061205,191.574539,5.00e-04
27,0.033620,0.059845,170.233414,5.00e-04
28,0.032445,0.223451,414.886841,5.00e-04
29,0.031251,0.104252,275.147858,5.00e-04
30,0.029829,0.068502,204.379684,5.00e-04
31,0.029851,0.065799,216.426468,5.00e-04
32,0.028468,0.050045,166.820129,5.00e-04
33,0.027324,0.056103,174.652435,5.00e-04
34,0.026415,0.052894,160.954651,5.00e-04
35,0.025657,0.043628,132.427948,5.00e-04
36,0.026208,0.045182,131.817444,5.00e-04
37,0.026249,0.054757,187.132812,5.00e-04
38,0.023925,0.043468,133.485794,5.00e-04
39,0.024021,0.031522,111.734734,5.00e-04
40,0.023377,0.051289,182.731750,5.00e-04
41,0.022636,0.058776,210.177460,5.00e-04
42,0.021294,0.035513,127.936302,5.00e-04
43,0.022025,0.066957,215.594055,5.00e-04
44,0.022077,0.032842,122.517075,5.00e-04
45,0.020992,0.121584,229.093307,5.00e-04
46,0.021041,0.052274,170.802948,5.00e-04
47,0.020775,0.052614,157.664902,5.00e-04
48,0.020719,0.034273,115.156136,5.00e-04
49,0.019436,0.025888,105.565125,5.00e-04
50,0.019554,0.076237,202.493362,5.00e-04
51,0.018407,0.042266,136.501816,5.00e-04
52,0.018168,0.031233,103.470245,5.00e-04
53,0.018209,0.036490,158.288498,5.00e-04
54,0.017733,0.060048,187.545074,5.00e-04
55,0.017321,0.026373,100.348145,5.00e-04
56,0.018313,0.028929,110.059715,5.00e-04
57,0.017910,0.036426,139.056976,5.00e-04
58,0.017132,0.048973,174.145050,5.00e-04
59,0.016079,0.027254,96.347847,5.00e-04
60,0.017124,0.024138,98.729218,5.00e-04
61,0.015861,0.028759,112.286995,5.00e-04
62,0.015388,0.029338,124.084282,5.00e-04
63,0.016014,0.021116,86.307068,5.00e-04
64,0.015894,0.024256,90.400719,5.00e-04
65,0.014929,0.043542,154.174469,5.00e-04
66,0.014704,0.025245,92.485237,5.00e-04
67,0.015182,0.049919,156.088745,5.00e-04
68,0.014336,0.023989,101.113144,5.00e-04
69,0.014481,0.049716,171.090515,5.00e-04
70,0.015013,0.020560,81.761101,5.00e-04
71,0.013346,0.031791,138.904175,5.00e-04
72,0.013766,0.054054,170.315033,5.00e-04
73,0.013733,0.031278,125.999557,5.00e-04
74,0.013696,0.021434,87.360046,5.00e-04
75,0.013592,0.020204,87.254547,5.00e-04
76,0.012318,0.027542,109.715508,5.00e-04
77,0.012484,0.067002,241.294312,5.00e-04
78,0.012966,0.067838,172.750473,5.00e-04
79,0.012897,0.023904,98.310623,5.00e-04
80,0.012969,0.034043,120.057648,5.00e-04
81,0.012409,0.039779,161.787140,5.00e-04
82,0.011748,0.033649,128.674896,5.00e-04
83,0.013089,0.021818,97.898773,5.00e-04
84,0.012115,0.027997,116.702148,5.00e-04
85,0.012015,0.023725,94.636650,5.00e-04
86,0.011728,0.020471,85.804161,5.00e-04
87,0.011386,0.020936,94.264091,5.00e-04
88,0.011560,0.028330,118.403244,5.00e-04
89,0.011322,0.042709,131.665253,5.00e-04
90,0.011406,0.146278,338.681000,5.00e-04
91,0.011569,0.017194,77.127357,5.00e-04
92,0.011280,0.025189,99.859543,5.00e-04
93,0.011048,0.017383,78.803032,5.00e-04
94,0.010240,0.018207,76.363434,5.00e-04
95,0.011003,0.036888,147.487900,5.00e-04
96,0.010898,0.022159,106.642632,5.00e-04
97,0.010114,0.037360,141.154617,5.00e-04
98,0.010288,0.016462,66.397377,5.00e-04
99,0.010400,0.023209,102.058647,5.00e-04
100,0.010439,0.027108,105.470840,5.00e-04
101,0.009737,0.023408,102.080994,5.00e-04
102,0.010307,0.028293,128.953751,5.00e-04
103,0.010264,0.017060,71.424820,5.00e-04
104,0.009778,0.022476,87.064667,5.00e-04
105,0.009566,0.034719,131.484375,5.00e-04
106,0.010469,0.023514,91.701431,5.00e-04
107,0.009161,0.030505,142.664215,5.00e-04
108,0.009053,0.017255,71.752808,5.00e-04
