epoch,train_loss,val_loss,val_mae,lr
1,0.396315,0.389116,511.650238,1.00e-03
2,0.351150,0.292598,354.773865,1.00e-03
3,0.292460,0.253341,318.113098,1.00e-03
4,0.238206,0.232295,298.438019,9.99e-04
5,0.193495,0.175949,283.277191,9.99e-04
6,0.166219,0.165133,265.790466,9.98e-04
7,0.144554,0.129546,236.788635,9.98e-04
8,0.130296,0.115343,247.381683,9.97e-04
9,0.120601,0.111436,219.458969,9.96e-04
10,0.110479,0.094806,183.888062,9.95e-04
11,0.102060,0.121226,227.687546,9.94e-04
12,0.095957,0.092384,208.049973,9.93e-04
13,0.090441,0.091540,187.568939,9.91e-04
14,0.086903,0.132024,205.662918,9.90e-04
15,0.081768,0.103765,181.120560,9.88e-04
16,0.076959,0.076446,168.984268,9.86e-04
17,0.075899,0.078358,157.477188,9.84e-04
18,0.071335,0.074239,163.380417,9.82e-04
19,0.068012,0.083446,159.189468,9.80e-04
20,0.065958,0.092157,150.320648,9.78e-04
21,0.063452,0.052089,134.352707,9.76e-04
22,0.061744,0.061519,144.481735,9.73e-04
23,0.058915,0.061492,135.952560,9.70e-04
24,0.056960,0.074537,135.855911,9.68e-04
25,0.055361,0.072622,155.961563,9.65e-04
26,0.053675,0.058220,128.897003,9.62e-04
27,0.050529,0.071795,131.263397,9.59e-04
28,0.052428,0.064325,136.775375,9.56e-04
29,0.047832,0.063635,136.345749,9.52e-04
30,0.046258,0.048157,116.480751,9.49e-04
31,0.045978,0.047783,111.319008,9.46e-04
32,0.044160,0.077416,126.672752,9.42e-04
33,0.043338,0.047180,122.535042,9.38e-04
34,0.039775,0.057219,115.528694,9.34e-04
35,0.040671,0.053008,114.349091,9.30e-04
36,0.039410,0.058707,117.889946,9.26e-04
37,0.037606,0.056966,135.145523,9.22e-04
38,0.038552,0.100356,111.998055,9.18e-04
39,0.037372,0.061669,105.866898,9.14e-04
40,0.036156,0.057062,105.828651,9.09e-04
41,0.034554,0.059129,120.117134,9.05e-04
42,0.033772,0.059356,96.150146,9.00e-04
43,0.033349,0.070893,104.428612,8.95e-04
44,0.033574,0.075711,118.600014,8.90e-04
45,0.031611,0.061053,109.166573,8.85e-04
46,0.030883,0.048662,105.247589,8.80e-04
47,0.032095,0.093743,139.102570,8.75e-04
48,0.030520,0.060451,98.876236,8.70e-04
49,0.031130,0.050569,86.070122,8.64e-04
50,0.028025,0.061090,113.886421,8.59e-04
51,0.027767,0.039772,86.962440,8.54e-04
52,0.028215,0.055443,91.928955,8.48e-04
53,0.027518,0.077103,88.127869,8.42e-04
54,0.026503,0.046701,94.482285,8.37e-04
55,0.025994,0.048461,85.726021,8.31e-04
56,0.026160,0.047014,84.867905,8.25e-04
57,0.025256,0.049949,82.584244,8.19e-04
58,0.025870,0.048974,86.419571,8.13e-04
59,0.024811,0.040017,80.530228,8.06e-04
60,0.022808,0.062212,100.513832,8.00e-04
61,0.024247,0.054792,92.203751,7.94e-04
62,0.023801,0.069413,87.589790,7.88e-04
63,0.024235,0.058988,92.277122,7.81e-04
64,0.022765,0.073763,90.538956,7.75e-04
65,0.022129,0.034652,70.874390,7.68e-04
66,0.021668,0.098777,100.205009,7.61e-04
67,0.022129,0.043210,75.874306,7.55e-04
68,0.021349,0.053164,93.931610,7.48e-04
69,0.020437,0.059876,85.226295,7.41e-04
70,0.021125,0.052010,87.458687,7.34e-04
71,0.019546,0.043702,75.460548,7.27e-04
72,0.020343,0.074486,81.476753,7.20e-04
73,0.020035,0.052255,77.707642,7.13e-04
74,0.018590,0.039226,73.812347,7.06e-04
75,0.018244,0.060296,77.542862,6.99e-04
76,0.019307,0.043332,72.455742,6.91e-04
77,0.018114,0.067437,72.912155,6.84e-04
78,0.018036,0.049219,73.532173,6.77e-04
79,0.017451,0.067538,72.676811,6.69e-04
80,0.017561,0.066255,87.805244,6.62e-04
81,0.016854,0.043592,71.871887,6.55e-04
82,0.016585,0.067951,88.729210,6.47e-04
83,0.016602,0.044504,68.610863,6.39e-04
84,0.016118,0.040904,77.419487,6.32e-04
85,0.016664,0.050940,65.846214,6.24e-04
86,0.015335,0.040302,69.879959,6.17e-04
87,0.015564,0.034437,62.188046,6.09e-04
88,0.014779,0.056058,78.216873,6.01e-04
89,0.014996,0.053088,70.722115,5.94e-04
90,0.014406,0.078310,82.505898,5.86e-04
91,0.015279,0.060784,70.163544,5.78e-04
92,0.014284,0.027778,68.507484,5.70e-04
93,0.013955,0.050897,77.206116,5.63e-04
94,0.014192,0.044213,66.868820,5.55e-04
95,0.013934,0.055023,71.349297,5.47e-04
96,0.013555,0.063758,73.492363,5.39e-04
97,0.012884,0.044536,80.233452,5.31e-04
98,0.013060,0.033546,63.080967,5.24e-04
99,0.012747,0.039799,65.649796,5.16e-04
100,0.012327,0.044454,62.815807,5.08e-04
101,0.012688,0.047387,63.066956,5.00e-04
102,0.012008,0.054990,56.547199,4.92e-04
103,0.012509,0.049132,63.230629,4.84e-04
104,0.011945,0.039804,60.864079,4.76e-04
105,0.011996,0.036721,55.277378,4.69e-04
106,0.011371,0.065533,64.756622,4.61e-04
107,0.011490,0.058456,64.794762,4.53e-04
108,0.011063,0.048054,58.246384,4.45e-04
109,0.010491,0.033900,56.307961,4.37e-04
110,0.010764,0.049489,55.483288,4.30e-04
111,0.010295,0.048605,71.708542,4.22e-04
112,0.010003,0.034622,56.080162,4.14e-04
113,0.010065,0.044354,52.094379,4.06e-04
