epoch,train_loss,val_loss,val_mae,lr
1,0.431242,0.389849,471.717072,1.00e-03
2,0.403253,0.384677,420.392334,1.00e-03
3,0.394201,0.384811,417.589111,1.00e-03
4,0.387198,0.358817,404.657501,9.99e-04
5,0.380428,0.359014,427.715363,9.99e-04
6,0.377703,0.417787,432.398071,9.98e-04
7,0.373529,0.391431,439.593109,9.98e-04
8,0.370754,0.361845,430.746735,9.97e-04
9,0.369168,0.351849,445.360626,9.96e-04
10,0.365292,0.354818,412.637360,9.95e-04
11,0.362674,0.355482,426.839630,9.94e-04
12,0.358849,0.356783,436.977997,9.93e-04
13,0.360660,0.342488,396.790558,9.91e-04
14,0.358302,0.340347,390.373016,9.90e-04
15,0.355184,0.356152,394.021088,9.88e-04
16,0.354240,0.341035,429.386353,9.86e-04
17,0.348326,0.333656,386.923767,9.84e-04
18,0.353238,0.346391,416.443451,9.82e-04
19,0.348706,0.330085,381.373413,9.80e-04
20,0.344847,0.327897,412.316071,9.78e-04
21,0.345089,0.325939,415.197876,9.76e-04
22,0.345581,0.325536,418.692047,9.73e-04
23,0.340692,0.322233,399.201477,9.70e-04
24,0.341704,0.323587,411.102356,9.68e-04
25,0.341675,0.312227,385.672058,9.65e-04
26,0.340234,0.330591,381.094391,9.62e-04
27,0.339558,0.317039,370.558960,9.59e-04
28,0.337778,0.319545,408.719360,9.56e-04
29,0.333450,0.309250,424.669098,9.52e-04
30,0.336345,0.304799,403.881744,9.49e-04
31,0.334652,0.307541,393.737335,9.46e-04
32,0.334366,0.309148,381.613708,9.42e-04
33,0.330168,0.299058,386.163910,9.38e-04
34,0.332852,0.294064,372.056854,9.34e-04
35,0.329724,0.301180,377.379578,9.30e-04
36,0.329222,0.307832,420.685608,9.26e-04
37,0.327000,0.315788,389.229309,9.22e-04
38,0.326971,0.303909,372.379730,9.18e-04
39,0.326644,0.295851,366.761719,9.14e-04
40,0.325250,0.297377,357.226593,9.09e-04
41,0.326039,0.301951,404.356812,9.05e-04
42,0.324056,0.307991,383.820465,9.00e-04
43,0.325327,0.301789,405.122955,8.95e-04
44,0.323847,0.302638,395.849548,8.90e-04
45,0.324014,0.293900,381.722534,8.85e-04
46,0.321275,0.302856,371.568665,8.80e-04
47,0.319175,0.298516,410.532013,8.75e-04
48,0.320558,0.297983,372.920807,8.70e-04
49,0.319723,0.294359,388.625916,8.64e-04
50,0.319219,0.294007,373.056671,8.59e-04
51,0.319112,0.295977,368.431793,8.54e-04
52,0.317261,0.289473,375.811615,8.48e-04
53,0.319749,0.290946,412.558411,8.42e-04
54,0.316262,0.290949,390.751465,8.37e-04
55,0.317532,0.282734,397.299774,8.31e-04
56,0.315793,0.290905,380.882141,8.25e-04
57,0.316140,0.298603,382.540009,8.19e-04
58,0.315177,0.303144,410.202026,8.13e-04
59,0.312526,0.330944,396.111084,8.06e-04
60,0.312833,0.291456,384.199951,8.00e-04
