epoch,train_loss,val_loss,val_mae,lr
1,0.394517,0.393208,519.515564,1.00e-03
2,0.362965,0.357157,361.037231,1.00e-03
3,0.336091,0.352164,347.449280,1.00e-03
4,0.311486,0.275379,354.196106,9.99e-04
5,0.283951,0.242584,340.636627,9.99e-04
6,0.265561,0.240727,332.267303,9.98e-04
7,0.246801,0.233266,368.765930,9.98e-04
8,0.229403,0.202691,292.123840,9.97e-04
9,0.215243,0.180769,295.174744,9.96e-04
10,0.202009,0.191077,311.191925,9.95e-04
11,0.193643,0.166534,291.546173,9.94e-04
12,0.184167,0.169849,295.591919,9.93e-04
13,0.173682,0.151759,255.567337,9.91e-04
14,0.168654,0.174107,263.631439,9.90e-04
15,0.165427,0.169010,270.657562,9.88e-04
16,0.157701,0.148419,258.554535,9.86e-04
17,0.152610,0.141564,261.737030,9.84e-04
18,0.149280,0.140118,236.639954,9.82e-04
19,0.143329,0.129706,232.627792,9.80e-04
20,0.138624,0.136570,234.031189,9.78e-04
21,0.137747,0.128402,230.769104,9.76e-04
22,0.133788,0.126885,253.297256,9.73e-04
23,0.129613,0.102843,205.559998,9.70e-04
24,0.127702,0.119895,220.793793,9.68e-04
25,0.124940,0.107117,210.209167,9.65e-04
26,0.123622,0.105243,211.462906,9.62e-04
27,0.120155,0.110583,212.886719,9.59e-04
28,0.116867,0.102947,207.968552,9.56e-04
29,0.115172,0.106496,200.516235,9.52e-04
30,0.113363,0.099656,189.157043,9.49e-04
31,0.111017,0.097555,195.670792,9.46e-04
32,0.110416,0.099408,204.369049,9.42e-04
33,0.108545,0.093881,189.059769,9.38e-04
34,0.106449,0.095328,196.258270,9.34e-04
35,0.104425,0.099648,191.460251,9.30e-04
36,0.102762,0.088422,192.267471,9.26e-04
37,0.102804,0.090280,186.641647,9.22e-04
38,0.099450,0.102319,190.406021,9.18e-04
39,0.100388,0.085681,186.428833,9.14e-04
40,0.098525,0.088761,172.100128,9.09e-04
41,0.097257,0.102152,205.839645,9.05e-04
42,0.096949,0.082665,170.941483,9.00e-04
43,0.093832,0.096210,186.684662,8.95e-04
44,0.095210,0.099028,199.818542,8.90e-04
45,0.092940,0.094235,185.828705,8.85e-04
46,0.091484,0.094211,192.560257,8.80e-04
47,0.091437,0.088214,175.904175,8.75e-04
48,0.089319,0.089077,187.305756,8.70e-04
49,0.088468,0.105003,207.938141,8.64e-04
50,0.086657,0.086445,171.959106,8.59e-04
51,0.086954,0.081967,171.278793,8.54e-04
52,0.086744,0.084177,188.388077,8.48e-04
53,0.084742,0.093577,198.503998,8.42e-04
54,0.082746,0.082186,174.464264,8.37e-04
55,0.085004,0.080436,184.383499,8.31e-04
56,0.084009,0.077759,165.067612,8.25e-04
57,0.081403,0.080914,167.795578,8.19e-04
58,0.082464,0.080491,170.487427,8.13e-04
59,0.081280,0.089099,187.384369,8.06e-04
60,0.080575,0.071508,162.555725,8.00e-04
61,0.080380,0.087575,173.032944,7.94e-04
62,0.078083,0.075944,157.578278,7.88e-04
63,0.078130,0.084448,194.620056,7.81e-04
64,0.077578,0.075872,158.511841,7.75e-04
65,0.076465,0.073268,171.610718,7.68e-04
66,0.075266,0.076464,156.397919,7.61e-04
67,0.075773,0.073217,160.177094,7.55e-04
68,0.073703,0.081191,166.270966,7.48e-04
69,0.074145,0.084163,185.853973,7.41e-04
70,0.073194,0.081947,163.867905,7.34e-04
71,0.073959,0.079042,165.952438,7.27e-04
72,0.071443,0.079843,174.230743,7.20e-04
73,0.072280,0.073569,152.087463,7.13e-04
74,0.070730,0.088808,174.721420,7.06e-04
75,0.070233,0.079680,163.543762,6.99e-04
76,0.070309,0.085073,170.568817,6.91e-04
77,0.069419,0.068273,153.541473,6.84e-04
78,0.067084,0.080919,167.222534,6.77e-04
79,0.068967,0.067175,149.033676,6.69e-04
80,0.068460,0.062622,137.746719,6.62e-04
81,0.067604,0.079942,157.660019,6.55e-04
82,0.066492,0.066499,143.319885,6.47e-04
83,0.066788,0.090959,170.415466,6.39e-04
84,0.066198,0.070756,146.319733,6.32e-04
85,0.065575,0.068302,150.705261,6.24e-04
86,0.064740,0.070139,144.635849,6.17e-04
87,0.063864,0.076295,153.879456,6.09e-04
88,0.064722,0.068272,143.510727,6.01e-04
89,0.062345,0.075114,162.108749,5.94e-04
90,0.062717,0.070585,154.600266,5.86e-04
91,0.061871,0.066995,153.936996,5.78e-04
92,0.063029,0.066854,146.506897,5.70e-04
93,0.060431,0.083209,188.172089,5.63e-04
94,0.061732,0.080923,171.676224,5.55e-04
95,0.060869,0.065356,147.960052,5.47e-04
96,0.060959,0.066278,147.304703,5.39e-04
97,0.059133,0.069902,149.932343,5.31e-04
98,0.059698,0.065950,142.008133,5.24e-04
99,0.058529,0.073208,147.551666,5.16e-04
100,0.058252,0.064392,139.648529,5.08e-04
