epoch,train_loss,val_loss,val_mae,lr
1,0.378440,0.354754,429.549835,5.00e-04
2,0.339962,0.323337,413.617432,5.00e-04
3,0.309487,0.302981,346.070740,5.00e-04
4,0.276908,0.293003,334.417053,5.00e-04
5,0.241737,0.266226,373.858582,5.00e-04
6,0.207198,0.206825,331.919983,4.99e-04
7,0.179479,0.182348,285.925476,4.99e-04
8,0.155841,0.147807,264.572266,4.98e-04
9,0.138776,0.148962,292.704010,4.98e-04
10,0.121590,0.119572,225.726700,4.98e-04
11,0.110598,0.098362,198.883133,4.97e-04
12,0.104080,0.103602,229.149475,4.96e-04
13,0.094908,0.105768,201.898392,4.96e-04
14,0.091608,0.091608,194.293930,4.95e-04
15,0.083707,0.105751,238.832535,4.94e-04
16,0.078945,0.083866,192.685928,4.93e-04
17,0.074912,0.080541,174.950256,4.92e-04
18,0.072980,0.093331,200.745712,4.91e-04
19,0.067541,0.075183,173.720779,4.90e-04
20,0.065337,0.096251,214.820526,4.89e-04
21,0.060909,0.067102,169.150772,4.88e-04
22,0.059426,0.072577,171.944473,4.87e-04
23,0.057221,0.071881,188.409561,4.85e-04
24,0.053332,0.067448,167.632370,4.84e-04
25,0.051509,0.060043,148.012970,4.82e-04
26,0.049549,0.060934,147.780685,4.81e-04
27,0.047176,0.058668,144.413025,4.79e-04
28,0.046205,0.054445,139.471954,4.78e-04
29,0.044744,0.062144,149.533722,4.76e-04
30,0.042599,0.058176,143.771103,4.75e-04
31,0.041817,0.056382,144.056290,4.73e-04
32,0.041193,0.056932,150.750702,4.71e-04
33,0.039949,0.052209,138.910172,4.69e-04
34,0.038057,0.058534,152.404968,4.67e-04
35,0.036731,0.061318,174.357452,4.65e-04
36,0.037057,0.058010,143.338837,4.63e-04
37,0.035944,0.052649,131.410706,4.61e-04
38,0.034908,0.050647,141.943527,4.59e-04
39,0.032472,0.056919,153.319977,4.57e-04
40,0.032046,0.045507,111.850342,4.55e-04
41,0.032092,0.044523,115.460808,4.52e-04
42,0.030216,0.039183,113.460381,4.50e-04
43,0.029860,0.044685,115.525436,4.48e-04
44,0.028714,0.042998,116.892044,4.45e-04
45,0.029082,0.045665,123.637459,4.43e-04
46,0.028067,0.036564,108.187393,4.40e-04
47,0.027024,0.042299,111.473129,4.38e-04
48,0.027218,0.042564,123.712662,4.35e-04
49,0.025138,0.043568,126.941803,4.32e-04
50,0.026341,0.043588,122.544868,4.30e-04
51,0.025169,0.046734,123.740067,4.27e-04
52,0.024241,0.044408,132.963516,4.24e-04
53,0.023375,0.037411,95.574295,4.21e-04
54,0.022955,0.047138,130.236572,4.18e-04
55,0.022173,0.040554,107.470718,4.15e-04
56,0.021390,0.037548,98.620956,4.12e-04
57,0.021469,0.042380,116.358536,4.09e-04
58,0.021659,0.047730,102.186890,4.06e-04
