epoch,train_loss,val_loss,val_mae,lr
1,0.481062,0.404157,490.570557,1.00e-04
2,0.432454,0.415738,527.264893,1.00e-04
3,0.419937,0.432448,565.271606,1.00e-04
4,0.412545,0.452954,573.997620,9.99e-05
5,0.405475,0.429876,525.870300,9.99e-05
6,0.399591,0.442005,596.291382,9.98e-05
7,0.397726,0.418326,547.301575,9.98e-05
8,0.393234,0.487581,625.397644,9.97e-05
9,0.390487,0.446229,581.544922,9.96e-05
10,0.389147,0.449102,574.505127,9.95e-05
11,0.387075,0.444793,560.388855,9.94e-05
12,0.383700,0.454359,584.902344,9.93e-05
13,0.383361,0.445108,578.004883,9.91e-05
14,0.382821,0.449643,579.219299,9.90e-05
15,0.378457,0.442769,570.073181,9.88e-05
16,0.377783,0.419474,535.063538,9.86e-05
17,0.377388,0.426593,555.407410,9.84e-05
18,0.373537,0.421747,558.438293,9.82e-05
19,0.373610,0.416405,550.321838,9.80e-05
20,0.371201,0.430534,578.447388,9.78e-05
21,0.370414,0.427359,554.306458,9.76e-05
