epoch,train_loss,val_loss,val_mae,lr
1,0.396135,0.400710,497.956696,1.00e-03
2,0.354723,0.317722,377.395630,1.00e-03
3,0.318348,0.284719,358.159607,1.00e-03
4,0.291104,0.253778,326.485809,9.99e-04
5,0.267452,0.230252,320.295013,9.99e-04
6,0.245635,0.224429,311.922180,9.98e-04
7,0.223702,0.197389,309.595764,9.98e-04
8,0.204947,0.170986,273.210175,9.97e-04
9,0.188291,0.158513,275.360992,9.96e-04
10,0.175396,0.155246,252.462814,9.95e-04
11,0.161886,0.145315,256.586639,9.94e-04
12,0.152266,0.129847,250.090378,9.93e-04
13,0.144550,0.122197,248.008423,9.91e-04
14,0.138040,0.112199,213.059525,9.90e-04
15,0.131339,0.102168,208.607315,9.88e-04
16,0.126079,0.110248,229.081055,9.86e-04
17,0.120453,0.104381,213.276520,9.84e-04
18,0.117769,0.101689,207.447418,9.82e-04
19,0.113086,0.101494,224.945724,9.80e-04
20,0.108708,0.104581,209.919571,9.78e-04
21,0.104900,0.093213,194.203720,9.76e-04
22,0.103420,0.101792,210.360397,9.73e-04
23,0.100003,0.098592,197.631348,9.70e-04
24,0.098845,0.083094,180.911179,9.68e-04
25,0.095928,0.078846,179.322708,9.65e-04
26,0.091552,0.084936,180.385056,9.62e-04
27,0.092146,0.093488,196.361038,9.59e-04
28,0.088835,0.077780,171.022919,9.56e-04
29,0.087431,0.074264,176.619232,9.52e-04
30,0.084558,0.084698,172.846054,9.49e-04
31,0.084034,0.080504,179.004715,9.46e-04
32,0.081632,0.081394,170.045013,9.42e-04
33,0.079808,0.082929,168.450928,9.38e-04
34,0.079393,0.086633,187.349289,9.34e-04
35,0.076708,0.079319,172.759781,9.30e-04
36,0.077267,0.104475,194.770065,9.26e-04
37,0.075407,0.073805,166.664352,9.22e-04
38,0.073852,0.077198,175.811096,9.18e-04
39,0.074498,0.075824,163.219681,9.14e-04
40,0.072152,0.070592,164.366241,9.09e-04
41,0.069246,0.079986,172.735840,9.05e-04
42,0.069375,0.068426,147.747025,9.00e-04
43,0.070511,0.072597,147.251907,8.95e-04
44,0.067927,0.068187,174.653915,8.90e-04
45,0.065868,0.066445,160.963425,8.85e-04
46,0.067062,0.061383,147.517776,8.80e-04
47,0.065357,0.056600,147.576630,8.75e-04
48,0.063283,0.064722,154.077820,8.70e-04
49,0.063901,0.060102,154.696899,8.64e-04
50,0.062869,0.057131,144.824921,8.59e-04
51,0.061764,0.063306,142.445114,8.54e-04
52,0.061185,0.057609,147.999878,8.48e-04
53,0.060291,0.067205,137.615021,8.42e-04
54,0.059452,0.054539,143.522217,8.37e-04
55,0.059504,0.058699,140.426285,8.31e-04
56,0.058873,0.051909,128.028305,8.25e-04
57,0.057251,0.068162,143.766357,8.19e-04
58,0.055967,0.063809,141.613083,8.13e-04
59,0.056601,0.066873,153.584656,8.06e-04
60,0.055268,0.063301,147.613861,8.00e-04
61,0.054526,0.056016,136.942505,7.94e-04
62,0.054240,0.061785,144.728287,7.88e-04
63,0.053994,0.065568,144.376877,7.81e-04
64,0.052648,0.063333,146.233932,7.75e-04
65,0.052393,0.066166,154.286758,7.68e-04
66,0.051977,0.058319,150.330750,7.61e-04
67,0.051365,0.053918,133.881119,7.55e-04
68,0.049341,0.054288,138.447021,7.48e-04
69,0.049783,0.063948,128.151291,7.41e-04
70,0.049336,0.062940,151.905075,7.34e-04
71,0.049502,0.054996,125.367607,7.27e-04
72,0.048115,0.066318,140.778610,7.20e-04
73,0.048089,0.051248,122.054367,7.13e-04
74,0.047132,0.060220,127.891579,7.06e-04
75,0.046212,0.063824,126.570541,6.99e-04
76,0.045939,0.074132,158.023483,6.91e-04
77,0.044591,0.056866,142.575760,6.84e-04
78,0.045910,0.061777,121.564796,6.77e-04
79,0.043269,0.060018,137.648712,6.69e-04
80,0.044222,0.055141,126.847427,6.62e-04
81,0.043306,0.050074,118.466019,6.55e-04
82,0.042784,0.054734,128.332153,6.47e-04
83,0.043431,0.047643,116.412415,6.39e-04
84,0.042313,0.052007,121.778328,6.32e-04
85,0.040914,0.050128,128.049896,6.24e-04
86,0.041022,0.054632,117.097176,6.17e-04
87,0.040760,0.053433,122.054634,6.09e-04
88,0.040888,0.056814,124.639915,6.01e-04
89,0.040868,0.064286,145.114044,5.94e-04
90,0.040256,0.045757,107.470688,5.86e-04
91,0.038607,0.051353,128.707596,5.78e-04
92,0.039031,0.044351,109.741142,5.70e-04
93,0.038865,0.051115,115.686546,5.63e-04
94,0.038240,0.055187,137.012146,5.55e-04
95,0.038060,0.047855,106.952858,5.47e-04
96,0.037675,0.048818,117.495674,5.39e-04
97,0.037337,0.047300,119.130829,5.31e-04
98,0.036550,0.048054,120.175446,5.24e-04
99,0.036913,0.052515,125.595993,5.16e-04
100,0.036012,0.056287,115.605797,5.08e-04
101,0.035475,0.053017,104.771812,5.00e-04
102,0.035698,0.039521,106.276894,4.92e-04
103,0.034805,0.046632,111.779564,4.84e-04
104,0.035340,0.052481,112.057587,4.76e-04
105,0.033989,0.042239,114.973114,4.69e-04
106,0.034157,0.047407,114.383141,4.61e-04
107,0.033417,0.048686,110.081100,4.53e-04
108,0.033224,0.047777,119.153160,4.45e-04
109,0.033107,0.045488,97.125450,4.37e-04
110,0.033224,0.044515,111.752304,4.30e-04
111,0.032002,0.042320,99.661736,4.22e-04
112,0.032026,0.043812,116.004158,4.14e-04
113,0.031729,0.039765,99.420242,4.06e-04
114,0.031427,0.046759,101.572441,3.99e-04
115,0.030711,0.043476,98.497169,3.91e-04
116,0.030911,0.039799,98.115509,3.83e-04
117,0.030494,0.046132,100.376389,3.76e-04
118,0.030523,0.042904,102.207741,3.68e-04
119,0.030395,0.040332,96.257378,3.61e-04
120,0.030033,0.044122,103.855713,3.53e-04
121,0.029534,0.042787,103.343292,3.45e-04
122,0.028879,0.046938,97.768372,3.38e-04
123,0.028260,0.041143,103.609261,3.31e-04
124,0.028972,0.044491,117.456970,3.23e-04
125,0.028661,0.041764,96.297218,3.16e-04
126,0.027782,0.040607,98.980171,3.09e-04
127,0.027785,0.041516,101.614723,3.01e-04
128,0.027514,0.040723,95.068306,2.94e-04
129,0.027958,0.041616,99.500526,2.87e-04
130,0.027410,0.037824,93.475693,2.80e-04
131,0.027471,0.040714,95.380005,2.73e-04
132,0.027029,0.040170,97.292290,2.66e-04
133,0.027087,0.034753,90.608681,2.59e-04
134,0.026176,0.038271,95.559120,2.52e-04
135,0.026093,0.037145,94.634178,2.45e-04
136,0.026062,0.037087,94.914925,2.39e-04
137,0.025775,0.040345,89.691872,2.32e-04
138,0.025751,0.042641,94.545090,2.25e-04
139,0.025126,0.042118,93.890793,2.19e-04
140,0.025177,0.039075,93.996696,2.12e-04
141,0.025135,0.038524,94.164726,2.06e-04
142,0.024447,0.041321,92.020859,2.00e-04
143,0.024541,0.037313,86.615974,1.94e-04
144,0.024297,0.037175,90.066078,1.87e-04
145,0.024045,0.037798,85.690178,1.81e-04
146,0.023894,0.042846,85.214859,1.75e-04
147,0.023991,0.037098,94.266953,1.69e-04
148,0.023931,0.039036,89.156128,1.63e-04
149,0.023294,0.036775,84.958122,1.58e-04
150,0.023335,0.037742,85.850304,1.52e-04
151,0.023621,0.036287,85.981224,1.46e-04
152,0.022932,0.035050,81.344902,1.41e-04
153,0.022618,0.039447,84.782249,1.36e-04
154,0.022756,0.036331,83.088463,1.30e-04
155,0.022536,0.035448,82.151230,1.25e-04
156,0.022448,0.036196,81.371223,1.20e-04
157,0.021901,0.038437,83.542198,1.15e-04
158,0.022484,0.037390,85.841019,1.10e-04
159,0.022273,0.038121,82.941521,1.05e-04
160,0.021928,0.036279,84.003143,1.00e-04
161,0.021664,0.036540,81.579987,9.55e-05
162,0.021874,0.038306,82.610580,9.09e-05
163,0.021705,0.042214,89.299782,8.65e-05
164,0.021422,0.033015,81.155815,8.21e-05
165,0.021482,0.036966,86.054382,7.78e-05
166,0.021016,0.035186,84.296509,7.37e-05
167,0.020983,0.034064,79.875458,6.96e-05
168,0.020750,0.036519,85.489357,6.57e-05
169,0.020938,0.035371,82.500992,6.18e-05
170,0.020894,0.037855,82.266312,5.81e-05
171,0.020893,0.035709,79.751343,5.45e-05
172,0.020976,0.037613,85.236664,5.10e-05
173,0.020444,0.035360,78.940750,4.76e-05
174,0.020607,0.033797,76.848839,4.43e-05
175,0.020611,0.038193,82.800751,4.11e-05
176,0.020450,0.034118,79.351555,3.81e-05
177,0.020185,0.035497,80.720024,3.51e-05
178,0.020212,0.034760,83.512405,3.23e-05
179,0.020001,0.036889,82.370995,2.96e-05
180,0.019929,0.036580,81.004814,2.70e-05
181,0.019964,0.035139,78.377640,2.45e-05
182,0.019923,0.034967,78.721931,2.21e-05
183,0.019916,0.034518,81.205818,1.99e-05
184,0.019896,0.035229,78.603615,1.77e-05
185,0.019888,0.035296,84.119911,1.57e-05
186,0.019824,0.033809,78.640663,1.38e-05
187,0.020047,0.033921,80.039772,1.20e-05
188,0.020150,0.038684,81.015564,1.04e-05
189,0.019920,0.037295,81.531273,8.86e-06
190,0.019616,0.033337,80.458115,7.45e-06
191,0.019731,0.035926,80.694778,6.16e-06
192,0.019493,0.035185,77.181435,4.99e-06
193,0.019528,0.035137,79.692192,3.94e-06
194,0.019473,0.037462,81.699234,3.02e-06
