epoch,train_loss,val_loss,val_mae,lr
1,0.320166,0.247724,339.399902,1.00e-03
2,0.250806,0.209304,337.870148,1.00e-03
3,0.209089,0.175845,294.207550,1.00e-03
4,0.177565,0.148065,279.167389,9.99e-04
5,0.153707,0.163987,283.146576,9.99e-04
6,0.136507,0.128478,275.595673,9.98e-04
7,0.123773,0.112641,237.445602,9.98e-04
8,0.113452,0.096742,221.599442,9.97e-04
9,0.106306,0.167989,355.202698,9.96e-04
10,0.099597,0.098062,230.817688,9.95e-04
11,0.092651,0.092329,222.733292,9.94e-04
12,0.088368,0.081043,211.539139,9.93e-04
13,0.084988,0.065833,180.676590,9.91e-04
14,0.079991,0.085563,211.060837,9.90e-04
15,0.076796,0.094726,255.703506,9.88e-04
16,0.073598,0.069751,176.499039,9.86e-04
17,0.070805,0.059291,162.101868,9.84e-04
18,0.069611,0.056378,166.383163,9.82e-04
19,0.064772,0.065115,190.505463,9.80e-04
20,0.064117,0.055298,166.731644,9.78e-04
21,0.061204,0.069018,177.627487,9.76e-04
22,0.059306,0.058865,177.949844,9.73e-04
23,0.057897,0.098747,249.459702,9.70e-04
24,0.056355,0.047958,143.885941,9.68e-04
25,0.055279,0.046702,144.860733,9.65e-04
26,0.053524,0.050894,152.246155,9.62e-04
27,0.052991,0.043914,142.390717,9.59e-04
28,0.051563,0.043812,132.508270,9.56e-04
29,0.049972,0.041655,130.341232,9.52e-04
30,0.048831,0.066455,171.947235,9.49e-04
31,0.048468,0.039941,132.891861,9.46e-04
32,0.047512,0.044041,133.688202,9.42e-04
33,0.045642,0.059795,169.844620,9.38e-04
34,0.044833,0.042886,129.304779,9.34e-04
35,0.045133,0.035772,123.203148,9.30e-04
36,0.044289,0.034448,119.909576,9.26e-04
37,0.042497,0.071849,197.444962,9.22e-04
38,0.042577,0.038280,120.656052,9.18e-04
39,0.042012,0.032867,116.313995,9.14e-04
40,0.040854,0.040823,131.799438,9.09e-04
41,0.040558,0.038290,134.888062,9.05e-04
42,0.039677,0.032073,113.183044,9.00e-04
43,0.038775,0.034040,110.820396,8.95e-04
44,0.038533,0.034067,113.453964,8.90e-04
45,0.038096,0.036990,124.687332,8.85e-04
46,0.038024,0.031988,109.118462,8.80e-04
47,0.036456,0.037371,130.513504,8.75e-04
48,0.035524,0.029764,113.883743,8.70e-04
49,0.036245,0.038387,126.192810,8.64e-04
50,0.035529,0.032021,115.928818,8.59e-04
51,0.034695,0.040618,138.050644,8.54e-04
52,0.034318,0.043004,139.032745,8.48e-04
53,0.034210,0.035408,121.178879,8.42e-04
54,0.033770,0.043266,147.016129,8.37e-04
55,0.032835,0.034339,116.812981,8.31e-04
56,0.032969,0.040034,140.257568,8.25e-04
57,0.032821,0.028295,108.708183,8.19e-04
58,0.031909,0.028547,100.589798,8.13e-04
59,0.031466,0.032742,116.011993,8.06e-04
60,0.031134,0.027238,106.515350,8.00e-04
61,0.031045,0.032938,111.601158,7.94e-04
62,0.030836,0.028801,112.977966,7.88e-04
63,0.030592,0.035226,123.867111,7.81e-04
64,0.029073,0.029927,103.322998,7.75e-04
65,0.029486,0.025939,107.389053,7.68e-04
66,0.028985,0.027838,109.360130,7.61e-04
67,0.028657,0.031991,115.286835,7.55e-04
68,0.028359,0.031134,121.123756,7.48e-04
69,0.028440,0.032800,126.505249,7.41e-04
70,0.028514,0.028826,113.103203,7.34e-04
71,0.027564,0.023917,100.211769,7.27e-04
72,0.027723,0.025357,96.674072,7.20e-04
73,0.027404,0.028404,105.208824,7.13e-04
74,0.027051,0.024263,87.164185,7.06e-04
75,0.027038,0.024704,92.956451,6.99e-04
76,0.026451,0.022892,92.302330,6.91e-04
77,0.026072,0.026881,100.972534,6.84e-04
78,0.025661,0.023856,97.286949,6.77e-04
79,0.026135,0.022236,83.988747,6.69e-04
80,0.024698,0.026464,107.155144,6.62e-04
81,0.024757,0.029281,109.735512,6.55e-04
82,0.024554,0.024893,91.369827,6.47e-04
83,0.024811,0.026778,105.575974,6.39e-04
84,0.024513,0.024736,88.605789,6.32e-04
85,0.024116,0.021434,85.941071,6.24e-04
86,0.024302,0.023472,93.526062,6.17e-04
87,0.023743,0.024631,107.045341,6.09e-04
88,0.023483,0.020274,85.206085,6.01e-04
89,0.023086,0.020726,81.719276,5.94e-04
90,0.023594,0.023381,94.249802,5.86e-04
91,0.022896,0.021718,89.400558,5.78e-04
92,0.022813,0.019958,78.870583,5.70e-04
93,0.022473,0.021923,91.821083,5.63e-04
94,0.022523,0.017861,77.443695,5.55e-04
95,0.022377,0.026198,103.688004,5.47e-04
96,0.021993,0.019589,81.904037,5.39e-04
97,0.021604,0.021345,81.465378,5.31e-04
98,0.021569,0.020796,86.873871,5.24e-04
99,0.021423,0.023282,89.665176,5.16e-04
100,0.020571,0.020089,79.550842,5.08e-04
101,0.020554,0.021479,92.033737,5.00e-04
102,0.020788,0.019013,84.316689,4.92e-04
103,0.020521,0.021022,83.595718,4.84e-04
104,0.020005,0.019013,77.048790,4.76e-04
105,0.020186,0.018985,83.091118,4.69e-04
106,0.019948,0.019505,79.202660,4.61e-04
107,0.019411,0.020525,79.572678,4.53e-04
108,0.019488,0.017999,72.617538,4.45e-04
109,0.019274,0.018967,77.552780,4.37e-04
110,0.019352,0.018609,73.868118,4.30e-04
111,0.019048,0.017594,70.646095,4.22e-04
112,0.019017,0.022018,78.897919,4.14e-04
113,0.018557,0.019802,76.436226,4.06e-04
114,0.018439,0.017471,72.782372,3.99e-04
115,0.018452,0.017828,71.187302,3.91e-04
116,0.017951,0.016300,70.476746,3.83e-04
117,0.018245,0.016227,70.883858,3.76e-04
118,0.017297,0.016659,68.328712,3.68e-04
119,0.017726,0.016538,70.630554,3.61e-04
120,0.017659,0.020056,82.037605,3.53e-04
121,0.017164,0.016601,73.670158,3.45e-04
122,0.017136,0.020191,78.552422,3.38e-04
123,0.016967,0.019124,78.283844,3.31e-04
124,0.016821,0.017994,72.685860,3.23e-04
125,0.016724,0.016822,70.543747,3.16e-04
126,0.016733,0.022313,97.684669,3.09e-04
127,0.016559,0.020709,84.035469,3.01e-04
128,0.016350,0.017258,69.066269,2.94e-04
129,0.015900,0.016253,68.733032,2.87e-04
130,0.015837,0.017281,71.650772,2.80e-04
131,0.015786,0.016973,70.427910,2.73e-04
132,0.015671,0.015830,64.249443,2.66e-04
133,0.015618,0.015547,65.826111,2.59e-04
134,0.015458,0.016214,65.890312,2.52e-04
135,0.015344,0.014957,61.573051,2.45e-04
136,0.014897,0.015608,64.359940,2.39e-04
137,0.015287,0.015830,64.198112,2.32e-04
138,0.015257,0.016318,67.238914,2.25e-04
139,0.014732,0.017062,69.986069,2.19e-04
140,0.014806,0.015678,65.921249,2.12e-04
141,0.014691,0.015988,65.361862,2.06e-04
