epoch,train_loss,train_mae,val_loss,val_mae,lr
1,0.462250,234.483398,0.036722,171.502594,3.00e-04
2,0.027767,126.458351,0.020902,127.613541,3.00e-04
3,0.017620,99.902901,0.010306,80.112762,3.00e-04
4,0.010233,77.389931,0.007205,81.120682,3.00e-04
5,0.007292,63.550369,0.004013,54.965420,3.00e-04
6,0.005273,53.978825,0.000976,20.858669,3.00e-04
7,0.003838,49.294582,0.001646,32.161732,2.99e-04
8,0.003319,44.056480,0.001503,32.505016,2.99e-04
9,0.002479,38.820911,0.000416,15.377853,2.99e-04
10,0.002323,36.489639,0.001908,39.537983,2.99e-04
11,0.002258,32.674046,0.003518,57.421638,2.98e-04
12,0.001491,30.426512,0.001037,29.778734,2.98e-04
13,0.002007,26.404499,0.000700,21.520487,2.97e-04
14,0.001678,27.315624,0.000345,11.058719,2.97e-04
15,0.001566,27.473732,0.000263,10.611868,2.96e-04
16,0.001516,21.767969,0.000248,10.778547,2.96e-04
17,0.001308,26.744915,0.000548,14.813943,2.95e-04
18,0.001083,23.954727,0.000581,20.626436,2.95e-04
19,0.001125,23.382769,0.001445,27.357372,2.94e-04
20,0.001095,22.719946,0.000451,11.481011,2.93e-04
21,0.001088,22.146080,0.000344,16.274529,2.93e-04
22,0.000896,22.089497,0.000438,16.166477,2.92e-04
23,0.000881,20.649824,0.000270,10.434190,2.91e-04
24,0.000979,20.318937,0.000230,10.404915,2.90e-04
25,0.000670,18.223557,0.000283,12.460402,2.89e-04
26,0.000689,19.260063,0.000929,23.888443,2.89e-04
27,0.000893,19.673925,0.000209,8.698116,2.88e-04
28,0.000719,18.234917,0.000892,25.327515,2.87e-04
29,0.000926,20.099522,0.000227,11.717887,2.86e-04
30,0.000618,15.275813,0.004980,69.319366,2.85e-04
31,0.000984,17.171253,0.000140,7.436265,2.84e-04
32,0.000376,14.385701,0.000201,10.545493,2.83e-04
33,0.000934,18.283182,0.000564,13.664362,2.81e-04
34,0.000639,15.332563,0.000195,10.915857,2.80e-04
35,0.000842,17.666151,0.000838,20.835865,2.79e-04
36,0.000633,15.973086,0.000578,22.759062,2.78e-04
37,0.000639,17.050228,0.001410,22.975994,2.77e-04
38,0.000614,15.634126,0.000577,18.046331,2.75e-04
39,0.001624,15.417299,0.000142,7.186388,2.74e-04
40,0.000253,12.497727,0.000346,15.695580,2.73e-04
41,0.000370,14.750146,0.000125,6.861236,2.71e-04
42,0.000376,14.738504,0.000491,18.184708,2.70e-04
43,0.000427,15.589615,0.000116,9.033689,2.69e-04
44,0.000678,14.655034,0.001302,33.714180,2.67e-04
45,0.000618,13.571239,0.000427,7.714374,2.66e-04
46,0.000516,13.478426,0.000124,7.880017,2.64e-04
47,0.000362,13.058156,0.000733,19.588289,2.63e-04
48,0.000447,14.980494,0.000271,14.335384,2.61e-04
49,0.000293,12.450130,0.000567,23.663710,2.59e-04
50,0.000519,14.007607,0.000162,6.171572,2.58e-04
51,0.000357,12.608003,0.000589,22.682316,2.56e-04
52,0.000316,11.964144,0.000125,7.381971,2.54e-04
53,0.000326,13.258040,0.000506,10.456857,2.53e-04
54,0.000391,14.042784,0.000310,7.711945,2.51e-04
55,0.000359,11.672113,0.000072,6.080251,2.49e-04
56,0.000331,11.921183,0.000272,14.852072,2.47e-04
57,0.000314,12.305308,0.000143,8.638827,2.46e-04
58,0.000249,11.754229,0.000179,9.900192,2.44e-04
59,0.000347,11.161940,0.000627,24.354731,2.42e-04
60,0.000236,11.767501,0.000173,9.826020,2.40e-04
61,0.000241,11.427627,0.000508,21.423065,2.38e-04
62,0.000317,12.281477,0.000132,8.396110,2.36e-04
63,0.000199,10.493126,0.000220,9.022853,2.34e-04
64,0.000234,10.899083,0.000079,7.609287,2.32e-04
